values,names,province,fixed,lower_bound,upper_bound,steps,lower_start,upper_start
0,growth_rate,12,1,0,0.5,0.1,0.05,0.15
0,i0,12,1,0,1,0.1,1,1
1e-5,t0,12,1,0,40,0.1,10,40
0.8273733186069876,local_r,12,0,0,10,0.1,0,1
0,growth_rate,13,1,0,0.5,0.1,0.05,0.15
0,i0,13,1,0,1,0.1,1,1
1e-5,t0,13,1,0,40,0.1,10,40
0.10794362588785589,local_r,13,0,0,10,0.1,0,1
0,growth_rate,14,1,0,0.5,0.1,0.05,0.15
0,i0,14,1,0,1,0.1,1,1
1e-5,t0,14,1,0,40,0.1,10,40
0.8209462941158563,local_r,14,0,0,10,0.1,0,1
0,growth_rate,15,1,0,0.5,0.1,0.05,0.15
0,i0,15,1,0,1,0.1,1,1
1e-5,t0,15,1,0,40,0.1,10,40
0.5530363116413355,local_r,15,0,0,10,0.1,0,1
0,growth_rate,16,1,0,0.5,0.1,0.05,0.15
0,i0,16,1,0,1,0.1,1,1
1e-5,t0,16,1,0,40,0.1,10,40
0.023331202333793044,local_r,16,0,0,10,0.1,0,1
0,growth_rate,17,1,0,0.5,0.1,0.05,0.15
0,i0,17,1,0,1,0.1,1,1
1e-5,t0,17,1,0,40,0.1,10,40
0.6927315564826131,local_r,17,0,0,10,0.1,0,1
0,growth_rate,18,1,0,0.5,0.1,0.05,0.15
0,i0,18,1,0,1,0.1,1,1
1e-5,t0,18,1,0,40,0.1,10,40
0.4380971072241664,local_r,18,0,0,10,0.1,0,1
0,growth_rate,19,1,0,0.5,0.1,0.05,0.15
0,i0,19,1,0,1,0.1,1,1
1e-5,t0,19,1,0,40,0.1,10,40
0.09946616017259657,local_r,19,0,0,10,0.1,0,1
0,growth_rate,20,1,0,0.5,0.1,0.05,0.15
0,i0,20,1,0,1,0.1,1,1
1e-5,t0,20,1,0,40,0.1,10,40
0.6620050764176995,local_r,20,0,0,10,0.1,0,1
0,growth_rate,21,1,0,0.5,0.1,0.05,0.15
0,i0,21,1,0,1,0.1,1,1
1e-5,t0,21,1,0,40,0.1,10,40
0.29360337276011705,local_r,21,0,0,10,0.1,0,1
0,growth_rate,22,1,0,0.5,0.1,0.05,0.15
0,i0,22,1,0,1,0.1,1,1
1e-5,t0,22,1,0,40,0.1,10,40
0.6508704670704901,local_r,22,0,0,10,0.1,0,1
0,growth_rate,23,1,0,0.5,0.1,0.05,0.15
0,i0,23,1,0,1,0.1,1,1
1e-5,t0,23,1,0,40,0.1,10,40
0.7663106706459075,local_r,23,0,0,10,0.1,0,1
0,growth_rate,24,1,0,0.5,0.1,0.05,0.15
0,i0,24,1,0,1,0.1,1,1
1e-5,t0,24,1,0,40,0.1,10,40
0.33907293784432113,local_r,24,0,0,10,0.1,0,1
0,growth_rate,25,1,0,0.5,0.1,0.05,0.15
0,i0,25,1,0,1,0.1,1,1
1e-5,t0,25,1,0,40,0.1,10,40
0.3337749307975173,local_r,25,0,0,10,0.1,0,1
0,growth_rate,26,1,0,0.5,0.1,0.05,0.15
0,i0,26,1,0,1,0.1,1,1
1e-5,t0,26,1,0,40,0.1,10,40
0.8643394706305116,local_r,26,0,0,10,0.1,0,1
