alpha,sigma
2.220540469891711,8.369947448532793
2.7858996299602197,6.936111193092935
3.094138100601261,6.256370478328418
3.2857826522374696,6.596224978067027
2.7287338694650494,7.376650863153184
2.5390606439291696,8.54563222899805
3.1978265366373835,7.594049722965795
2.8321379980099546,6.9450180463205
2.5930662225463657,7.772941450109383
3.820756677908543,7.157892733786697
2.7453405946656364,6.882785929312974
2.163797148064722,7.642986067271425
3.223477810940297,6.842759646159983
3.1589954473891293,6.559360951523249
3.1756355162494496,7.890957348640385
3.5171603274903003,7.026326873830433
3.424690650200138,6.816612601586456
3.1470744935975348,7.273925627859158
3.4160072033211093,6.709768487038106
2.251454095856097,7.286482486134467
3.1805615385000943,7.4654428231257635
3.430255591570599,6.234012458118848
3.437327177586748,6.915655465620909
2.752595725849261,6.641843248772713
2.147673495971574,6.973974085478723
2.6072620277028817,7.152516918377892
3.0445764375421787,6.8832171429081
3.050308022756663,6.915796676555543
2.549145351633815,7.730861848589707
2.5837829743408633,7.974378754976725
2.3831052640664705,7.718161918203813
2.820630200325662,8.236485845206373
3.2202134217459593,6.972345126325591
2.749364276466043,7.960755448172279
2.705356424389795,8.252779061431545
2.583725108320538,6.26499744049944
2.511142734938341,6.631288080780001
4.1780714571311135,6.357054141693411
3.1169716603603406,6.823815080465188
2.857945045422202,6.905429211827781
3.121327922368763,7.58006348147917
3.0763267563651913,6.8128679272326105
2.7912834269668525,6.603286214648566
2.2353356991925493,7.307854831148383
3.4207378644626494,6.525739771378385
2.162645148352559,7.1755660577230636
2.749740009398785,6.321783657934131
2.3317513714731923,8.597232224984094
3.9865357982692933,7.071439919966364
2.8495964623081247,6.290416422777241
3.127437709170405,7.251770143028638
4.485903719633272,6.79159323410689
3.433331685551976,7.504369357601499
3.1903174904461795,8.089722265820678
2.754202782157597,7.161885970789824
2.8155647061734412,7.742085432388404
2.9582398257165945,7.302252446981292
3.010642706929892,7.324807797457516
3.1893103008749804,6.933750572728855
2.948877995980356,7.802094622612884
3.3274483611239476,7.6075028651193675
2.1445020543469426,8.495728875142845
2.1290637790444094,7.351621830665022
3.3045813497181715,6.923760716406931
2.8467247201753962,6.850414202884952
2.857790554136335,7.177145608722707
3.7581287216880175,7.068727261604484
2.1553254771416324,7.8835105555805844
2.423151193005846,7.199847829260449
3.08525625617709,7.046694357392522
2.653718591614983,7.555887201722296
2.2695627607238325,6.998750944271061
2.318201708131776,7.93914093337184
2.241384473169332,8.583010232087059
2.752701420322681,7.782752927452589
2.6359310822123074,7.699242601009043
3.088217702969361,7.709517387759591
3.2657342395258966,7.49954322920621
2.4258386934434197,7.101723382043254
2.2831902181166592,7.926452679126248
3.7533019608921103,7.223161405935243
2.879095996110712,7.591868861898727
3.453485201461808,7.740196736341475
2.8129241903306,8.430570905334458
3.1959166907508707,7.158086788561976
3.786180378620226,7.363787621585441
3.3427766532435306,6.393338628503252
3.087682815963982,6.462209411570107
2.566157616974575,7.508199039118742
3.04256624959062,6.555969248419119
3.0473949401785356,6.414283388621706
3.146604411052657,7.45449011004975
3.018908311414901,7.726593334171745
2.958931679902127,7.789792996020423
2.901941524378728,6.937532381279604
2.1958454065733477,7.375034435418813
2.4901879349857174,7.247531091774439
2.720757080749853,7.325560972665876
2.4046664898382195,7.757227800121586
3.4923689513622262,7.6592227619696285
2.8971736375311687,7.065997569127541
2.8122238665957497,7.555773864709356
3.0522955875102036,7.605719928953105
2.6634370080394203,6.80235705915076
3.3809365161307023,6.989758709693969
2.7029051931466843,7.000761206616114
2.9447743611098995,7.256649922755087
2.8484806629486465,6.915050150527051
3.4307834955262004,6.825324791372284
3.909362264544076,7.198624395438085
2.895834192775936,7.309242975286302
2.904327590635745,7.438912003397801
2.177676008022007,7.797657309066513
2.9554606404011983,7.105322108188937
2.6001150987430077,7.852491822445911
2.8042343733362607,7.246644353927478
3.8070023720997215,7.8300330912659755
2.2400578891855254,7.952621063693964
2.940451944143403,6.959472191797917
2.741716440220736,7.528324771455438
2.7584614799561287,8.774516546239289
2.364310120074593,6.198109969020098
2.0353331458571517,7.538230897453216
3.281900419635136,7.895477699961136
2.714491888766196,8.053747111139069
2.7749962111605226,7.047139897710261
2.3387723643217955,6.5661789541148705
2.3423651263814276,7.956413567258866
3.583012069580717,7.257095929614762
2.31011836130295,7.150831494910558
2.41728737021548,6.999433075403148
2.5593936347682535,6.366952245805683
3.7906212865385567,6.779777998856638
2.857750258073378,7.118053419227026
3.3512587654274473,7.520360477405017
3.257669385817087,7.119364574514491
3.345314059478921,7.412740950465285
3.9786832816056865,6.339137660814883
2.437404911985572,6.486387394820416
2.6923310488341787,8.016516980627324
1.9505954876566218,8.847108025568314
2.161411751728051,7.330672561972948
2.4775586948498325,7.306038884936817
2.737566803271391,6.667978280414954
2.875882443537083,7.42114779058875
3.0073448689576794,6.800125036921074
3.261208004233388,7.109633655824621
3.649212672218832,6.743264972813497
2.528632582758251,8.706571686580402
3.645251882116714,6.313831330317847
2.329537309349898,7.883339835713393
3.646875720732968,7.807469274253793
2.731155342402573,6.728811655882233
3.0493660066253967,6.986045844964697
3.8351384641759427,7.04611206860759
3.605844135580115,6.753437942667037
3.047480896883203,7.1578016165211835
2.5305399590144213,6.754448895546006
3.585098395240697,7.382046369771502
2.486051509918442,7.2900854131436255
3.4619896794134606,7.361938110611887
3.727065064490594,7.452198134069489
2.0007107505965465,7.205426016128573
3.110783341597488,6.677557732123464
3.4905949459281023,7.85390975110679
2.9889795206208407,6.52574610677042
3.0863076057644996,7.073972644500198
3.4139530794813533,7.560980007521604
3.6412763394654863,7.0854611442379385
3.1432656077071455,7.168407147445805
2.9249497677103857,7.01041427704015
2.8727645634183254,7.623452431228206
2.6425233980296796,6.308888648737032
3.1165898704093644,7.030651954672332
2.953680550229787,6.604579907775739
3.2860105701059528,6.968645990037858
2.322382195616264,6.86386625752937
3.1158780974816787,7.15674095192718
1.8193606797702104,9.249185326870537
3.3545773171465547,6.898863382748937
2.4447496394904884,7.717308186655946
3.227896071936876,7.421951455811282
2.6427225765560602,7.478688014965117
3.2313708381124067,7.8007167990721475
2.971287721240849,6.796623399430417
2.540602081781915,7.194836329585942
2.4577743606998816,8.57676365816403
3.084533148952299,7.626386586498884
3.3350463395271843,6.454034845057999
3.8585283891244564,7.03960561123851
2.50300666881554,9.130508102263981
2.6536821112817277,6.661119908676381
2.8120599004351443,6.490222544252241
2.884580528125945,8.043300405812717
3.315440950432382,7.463036420221511
2.979114222896386,6.102932637692021
1.9249989507117635,9.49528399994674
3.085315065456423,7.8875683549117674
2.494932534993416,7.644648344065948
3.792056175633837,7.225254057816
3.584217596161244,7.266867106152832
3.6852814118765296,7.145458841577718
3.4493023895402435,6.910625453124624
4.006982730375999,6.768667749406001
3.4545601978555363,6.488710100033128
3.6723575067929954,7.024512195754445
3.7492549116474065,6.855836034848991
3.3283984722172026,7.138173335281999
2.6030661364609444,8.95556957495905
3.2930905952424294,7.311621869567771
3.1791910640600043,6.9386743586920145
3.1211788129845996,7.518074449268282
2.5364143775882986,8.894162437054106
3.239010875955326,6.547801803554058
3.06681087759082,7.176302747757668
2.71011292147266,8.126761310757908
3.929241115903077,7.386853496988911
3.520987777767531,7.133015701223819
2.5522594014246223,7.672160018321954
3.1313028818326263,6.707778967756057
3.7769652134694205,6.823770290346543
3.557291143249753,6.644366898205436
3.739846218331186,7.326257669833484
3.4723686181568523,7.00097536811516
3.262210877413722,6.68438800539118
2.677884646209057,8.193100574042601
3.461776014058656,6.9463223154978
3.8288246810915294,7.830939755577115
3.253146514189745,6.604987449660022
3.620298438827754,7.056997283655537
3.0735813050158454,7.26915871018007
3.7012341171718472,7.0663178328026355
2.83361535526887,7.984803395879661
2.9083254250850072,7.051901316732755
3.823485913759173,8.359084850754169
2.5499601370458698,8.77185892686576
3.584133332337798,7.236875639993428
2.7747309766980712,7.5122262852731225
3.2119521586214272,6.754061146185729
2.3944249411030065,7.28932910130504
3.600722571171842,6.617228270877928
2.022353475938327,7.475076850873618
2.813237614382075,6.496596085952006
2.5913970227776666,6.496412945846419
3.3557094111718007,7.794154645479862
2.854063902537321,6.640369006561601
3.29763617172643,6.918344156376891
2.36770394689625,8.519007568619465
3.725579410285041,6.507565953901008
3.001441610961344,7.150435164558145
2.2919776906289497,7.8428855358961735
3.2466592665597713,7.309391355032077
3.2041127966324456,7.527610794689725
2.604603506819065,7.306551699379672
3.324629669682572,7.477318534565382
3.542966262142036,7.4816874298199165
2.8716231195017956,7.470286046867526
3.004108808224422,6.154805703717453
2.903121331441401,8.405991304742505
3.261464358917935,7.496038626946696
2.740204389547798,7.203272534090866
3.3618445644400086,7.146911570201469
2.5970327481217996,6.314944668799578
2.8445175587544136,8.081657502043067
3.7621539604029803,7.354269402894669
2.3702520786200068,8.567451876828752
2.5979703217983214,6.830963539860596
2.725933669007948,8.131975609661177
2.809011872215664,8.628171018228498
3.3372259025384574,7.988035230255066
3.0061558240634727,6.187791718259607
3.22838570124988,7.730348449919348
2.9437237211090084,7.283195467546209
2.7995273262938456,7.751904234786754
3.2942750851965212,7.292342721782441
2.9401205102839345,6.877333537275505
2.832663183638008,7.365115417324674
3.040539914978958,7.454948215463569
2.351434547781604,7.77844790644439
3.8586317165440627,7.31054095368746
3.5896992933666523,6.304425601155612
3.3045804958753164,6.788450367706527
2.6195921792699335,7.795570755145118
3.0508884291855125,6.965624864915453
3.0784688678886782,6.866775716956924
3.300171380335635,7.791763519166555
3.6575681665889275,6.696211969490365
3.200350147019775,7.42468843728846
2.5226575840152354,7.880463593438585
2.569685618305604,7.679645807612474
2.80841233956242,7.604297620413982
3.028445358208474,5.920673775941131
2.2306888902277797,7.914285085008225
2.789878494260343,7.131672447648799
3.0736484189831526,7.2607867901689325
3.21603081101286,7.386632941026466
3.817967614572273,7.5285516592572845
2.5669857118393162,7.9323795669146175
3.3267640226876685,6.734363149598491
3.1774908496744376,7.652756594906305
3.7087043176164243,7.034363767015211
2.6184250618415024,6.219702186669346
3.1240802970916244,6.313628226873793
1.7371553000318198,8.1546700557657
2.2935283826663104,7.884618477267538
2.6071253573890867,8.30095548468197
3.2591026832218395,6.6978999616594415
3.118095831259441,8.088218847312744
2.835243514195257,6.650187960828195
2.244103633293744,6.674509466116461
2.3744524272310072,8.529439379692873
2.2273991977596843,8.0446396223384
3.436042063733563,7.037799063632014
3.4711703627748802,6.579588761740331
4.00849277716715,6.876791744598414
2.4659167589179636,7.027525135254891
2.5767401826168714,7.164916907083919
2.315692435729615,6.798180131000744
2.904107522711008,8.103276651144043
3.3688678480186782,6.689783654761814
2.7916289825865475,7.529359404080732
3.361078567967629,7.022077532348833
2.5131733047033213,8.509917798733802
3.405074186908447,7.835914345048246
2.3129891190782677,8.257257799499747
3.5610082319612024,6.716831125602226
2.6253928996454,7.0301380704639165
3.6582643617568515,6.7048622250614
2.5120672617750737,7.432698200287287
2.7134401431192177,7.5389834724956195
2.8274985561671695,7.112445554287237
2.957856843423751,6.123731396901883
3.5497864624301645,6.822923660068355
3.0185997840123497,7.10176688352523
3.6422502276769864,6.047011596040597
3.011489665062681,6.541998093261299
3.188226042054747,7.379886186326941
2.747175926396027,7.370944946115322
3.3318139965472438,6.944360928907787
3.341085877703222,7.138697586501331
2.680182133329374,6.239393100202575
2.0790343349089557,8.609071661869272
4.244596083450212,6.842721194762283
3.426785252822904,7.09978784585976
2.683672540343484,7.242292959518033
2.5173489137757916,7.39303923448098
2.4005495532544856,8.091258333687804
3.626836727175247,6.071238484103521
3.3864032984800807,6.998732277251647
2.8900553685732127,7.028727848451771
2.6975572749321106,7.421155669077526
3.3059990342636527,7.746473930249063
3.449525501861069,6.652721553068203
3.2876204941291047,6.96811156609251
3.5728690370359977,6.734387037306284
3.1270102965916102,7.07067018513814
2.69076378074911,8.059770520507154
2.0033364680844787,7.6779533214418905
3.904518078701489,7.10773930790733
3.223865144476265,6.901488127398212
3.499205109745197,6.924971278216552
2.8466151412952585,6.02676059867316
3.4879403975147065,6.980856410943539
2.2695341457656704,7.912628127938743
2.620585447878857,7.388677541594638
2.8576580516230403,7.610965042660336
3.0084916821512087,7.999886854383415
2.2663867305920022,6.709055055803661
2.901863077404672,6.988858524914401
3.135752099148206,7.136896134492191
3.095380905037099,6.700692074958806
3.838911069895354,7.597197473857492
2.6853103394992597,8.248069289242709
2.7968006332909034,8.284466076774457
3.9687261591013456,6.508977886319633
2.894974782022638,7.07001869665051
2.5676904740736375,9.79389932191185
2.7634045191005625,7.23556493855644
3.436341934852096,6.528266379398522
4.341392592600559,6.67604086740537
2.7755349988436495,7.673838087211469
2.412584812653725,6.902935531751585
3.600902618930859,7.6855061503626425
2.6129597931810067,7.13769725851435
3.926714362395464,7.262727429677386
3.196438002565931,6.639033385654381
4.334692613980136,6.869671670869928
2.409420769219408,7.1785485258398385
4.6761395591169554,7.108787416713044
2.4351222027187753,7.602498631391314
2.2583099117787255,7.17838477453005
2.812064070697424,6.601003458607289
3.29336493525847,6.453471529017004
2.385724080916175,7.231229644977169
2.4632345413287995,6.314969168975573
2.4684980696812655,7.260265612236779
2.4485534822078523,7.419413353487299
3.4651650729080647,6.544168573308066
3.427737751673808,7.039614174078794
3.4868298113733007,6.975555135721141
2.5014363624301366,6.4702497082031325
2.6687176566290085,6.760557959742271
2.3135573871925685,7.094495391822298
2.3556569794052584,8.550903378073059
2.358710043426454,7.461351845646996
3.4743268745677445,7.452793350970601
3.5563731674096366,6.814777521154532
3.621915742054656,7.867648133856295
2.9256014073218557,6.537363763534225
3.33158571307752,8.54958632542039
2.263289188029856,8.047449366785438
3.266801518290899,6.668380748259866
3.2589810357195654,6.814811057823494
2.3179575900337523,6.687666173838883
3.478894275269845,7.023329537114553
2.768651407554542,7.372194406431749
2.633993143512352,7.944976143335268
3.220109018364117,7.704028686041128
3.7609498468384825,7.569051709656862
4.1197676058496056,6.504370015859723
2.4480286906273645,8.089023114775655
3.6620392124541734,7.3595880591778124
3.6509573915400213,6.6664319253948
3.0880703292289704,6.855676964478138
3.0645407968046343,7.367317244593179
2.3611173581379874,7.819569995039631
2.132963902315259,8.236930461865871
3.468960704871358,7.014040317872606
2.3673927711638347,6.9503392409144915
2.3099126532989405,6.838550183684654
4.331787772376204,7.258888664500164
3.454146660897577,7.7121282403207205
3.2029893840954555,7.829957969006725
2.6994776875228,8.16773131684351
2.163403366743137,8.137659140162988
3.468816732933047,6.769627443918856
2.774158708816814,7.711238460935451
3.442832347110945,7.133838094620822
2.7599341134928204,6.996388224041749
2.5124709044445392,7.344772979563777
4.4736317112205235,7.449003942564669
2.4434926284448917,7.432283975027401
3.0067091129873043,7.993735904214078
2.9147486068920596,7.391563599508435
3.1756176148411974,6.858710258580185
1.9194828243564979,7.675462522073724
2.8079279198667173,8.588992748968288
3.8029624634292034,6.930538955455014
3.258336745081862,7.660762293676709
2.1351687769470256,6.977187289938329
2.041131922815213,8.940845243322261
2.937721049252652,6.7885040205964495
3.130438755708037,7.877231634750412
2.581150528540761,6.8009510389786465
3.5061585657585077,6.964017373410125
4.1974653666141215,7.453456991055462
3.0388213392158927,7.028479851646146
3.8874359395500013,7.0142074029694355
3.2745054816245363,7.07301535632072
3.5723239036360153,7.384097984861487
3.040429976026509,8.238238301227721
2.6574425156135186,7.6208760163641305
2.2761611262852557,8.30738579962611
2.601646212119768,7.307237832940923
3.0799164266508683,7.370084045554432
3.212013759099854,6.969801323920302
2.649126589967388,6.873495216762517
2.803974784401171,6.7607693973092555
3.4952060103382174,6.837209690318455
2.8354600292492482,7.509731262636855
3.3444349221008114,6.694756600338732
3.0060539269841424,7.213606854554551
2.695847190713954,7.3399144158638405
3.8751733692721584,7.203443495991063
2.8908584086991,6.6984477347560665
3.66284779078037,6.773898949064446
3.202423271797916,6.892406534874811
3.2584518813370282,7.235855119401108
3.2007854896780366,6.442139755406585
3.8507409534962145,6.661720757437353
1.8899428402074987,8.802094464004218
3.68933320566594,6.509255575711456
3.2384994133737535,6.67461005911436
3.1652532876955273,7.01141170392859
2.9767103800685444,7.477321921882095
2.285064017409812,6.7544802228140455
3.579228423353664,6.535058538465356
2.775285649494408,6.76687445035486
2.738318540154951,8.35747308411676
3.0373065599836684,6.954558996847003
3.5733623586382537,7.34974497949003
3.458872153749027,7.288455246569744
2.281186711469575,8.316465309826416
2.7149015211698053,7.15596421293486
2.70075396519335,7.296921087938999
2.978608833408766,6.995632229078099
2.9709198020754073,6.855470728311604
2.7495492743142536,6.056090085776805
3.350497159744803,6.908697522934902
3.302064141115547,6.999960179072153
2.145810762675445,7.59385657154298
2.6728579471605323,8.108495601417712
3.2669635404079376,7.999653392263514
2.636815003131439,6.967476049901567
3.3450950654568867,6.973313792116508
3.2452201646511707,7.315290790737142
3.5011332533930233,6.388058767679863
2.4637339975319654,6.565025830263838
2.720432112402218,6.343095883188474
2.237938929569255,7.02979288638243
2.4865917398737416,7.389102826344942
3.1102033096472717,6.658393770267061
2.5519352120645546,7.791939059025189
2.6655691088044318,7.057013855365559
2.437220121279964,8.16165509222638
3.5679309460494926,7.182822979880757
3.04743604562919,7.935859954475768
2.5901326396182434,7.187830683988895
2.5902670655114752,8.10766447544862
2.62469468481083,7.322297660895595
2.4041799369562034,6.119313196674377
3.068083640609179,7.233702268984539
3.0668175882654687,6.544757944655406
2.549737760630056,6.939936135487898
2.9635898370061775,6.300908943525328
3.551415392124496,8.882148179334619
2.993889215921431,6.416087899708719
3.1019111966341226,7.173568844749075
2.818589567862974,7.707609555767162
3.4045156493090056,7.188607964457829
2.1414163467121106,7.8418325871840215
2.6535579038634447,6.914565534246151
3.45581355658833,7.507712518708768
3.359197054367826,7.430716112010784
4.743238747128505,7.16975766930678
2.8208973853097143,7.221676466707243
2.670759379400805,8.070902610407469
2.9998484947911397,7.864328064989409
3.1270656116076827,8.267569337888494
2.514921455931224,6.308333748727396
2.7160186344015385,8.797795537731051
2.645125197816101,6.710954823725562
2.7291494011941753,7.2937516662105155
4.002329436601492,7.23499579777847
3.358711472079372,7.786077665282543
2.9636303658066705,6.9130055132045385
3.5095986901426266,6.806694591789001
2.492853117975963,7.073203033530078
3.128751883313361,7.510967608653536
2.627374463580152,8.000532197989042
3.895050588434728,6.80992999092257
2.7286594582405344,6.921588832204805
3.823377869886442,7.172721777962627
2.57932987633908,8.167422631043289
3.405889497585129,6.171875498603158
2.699132180745071,6.633905374017537
2.542494607201831,7.389810502962111
3.2963692971550986,6.890878551941138
4.020785751340715,7.015700278617266
3.5558624683378692,7.776208271764687
2.496093497696577,7.1475965744761245
2.3081108121178273,7.149120329035444
2.3200900709793033,7.258674848304494
2.6545151765387645,7.113762094805319
3.5674384225194964,6.296834774015151
3.0422472939444414,7.3418843544238515
2.4510575690043956,7.516378468369686
3.268402472231033,7.323435263924983
2.501354736186767,6.875453020269947
4.367078101299256,7.626279667615808
2.3527926923495333,7.127545354882806
2.972741393383103,6.943043066861851
3.739475346885833,6.781163560389755
3.007657043765404,7.592353114694574
3.9047381869295483,6.755882813907565
2.3263706203467986,7.536473253638884
2.627567981820935,7.248651036259764
2.3256446256724366,7.036525293185934
3.704254370687682,7.341886842147071
2.8305593119438517,6.987134329504747
2.515729556887695,7.015364289453192
4.1564021581958706,7.372873040393183
3.3279905040435267,7.456037873901341
2.276682724812173,6.170694738718896
3.011836429079942,7.684990438106919
2.830281884559337,6.481323273996484
2.993115394596024,6.467151457187682
2.4134956319411693,6.986062160568736
2.5659207486846056,8.047065542058306
2.7996906972120503,6.874818253409217
3.005577885577274,7.104106653749151
2.5849799739250945,7.066880134573756
3.3612059917670893,7.554828582245519
4.358579963689006,7.566237130769427
2.288215676019934,7.364343488629321
2.902184456283903,6.528405498335108
3.2358993480052596,7.531692292891355
3.0228616137586273,7.692188086259828
2.5658244272221307,6.839937618921394
2.7437982637063953,7.374991566313984
3.5419207721174395,6.482980118890715
3.7889498599545193,6.919322399157466
3.6054951412728613,6.8495109468374995
2.6346051190614608,6.847976400070445
4.173471064092724,6.486952751543932
3.3657557545520556,7.52629992566844
2.927933202786048,7.476247990822595
2.3649315967747984,6.858457076950343
2.5869575792945088,6.659736988567744
3.1963789395776647,7.968805024478195
3.46629533676565,7.394681758407059
3.0280044017018244,6.8774026508271
3.5533146663367647,6.6616794062958755
2.574417559620281,7.231368460119083
3.6760270830576265,7.034002449640627
3.586149712607048,7.225729259288257
2.5867914060007275,7.311017896188595
2.6621771331149566,7.078410508995225
2.7453803929945524,7.109096342977061
3.7026502432444217,6.633451797018003
3.0590581667153383,6.873299997293861
2.1956202947089394,9.056647103282307
2.8915714706378988,6.61354421049913
4.0777157429925435,7.0780619771407
3.06773515042295,8.370896818571733
2.6007132566298576,7.351928670904058
2.142004170475985,8.447428856768072
2.5836056679820345,8.251946459372313
2.9497663324825107,6.956510059966693
2.8935250839741715,7.554824929673076
3.268996751976421,7.4325651346564925
2.642518403791454,7.4511339853495056
3.100975284180601,6.605418564633278
4.041333960211472,7.151027280156771
2.534655494234191,6.72867033609212
2.668038660570929,7.2392677397819
2.8437160758943545,7.040408537213676
3.0549460278499163,7.293890436494661
2.249726845831465,7.760301339183993
3.4556239256079007,6.637747449161256
3.762763464498132,7.040364475222629
2.8549070421301788,7.052803112322505
3.1735024044222775,8.619654727709225
3.2844775468222216,6.146917679691222
2.3775067176085325,8.72804035217164
2.3555437490605278,7.712532853625133
3.2454833446217823,6.446213940297876
2.7918976918963136,7.208478245102953
3.315662233504234,5.975100516486789
3.372691245094294,7.305866983537667
3.950082339914451,6.850965782700968
2.920572306060567,6.928925956685264
3.328826331208029,7.276472619768348
2.0392358795727654,8.554364160692424
2.5368814251604714,6.624890208611468
2.723778950091959,6.230289134857797
3.183516331699934,6.833530381606816
3.1129520918266094,7.537179194793397
3.6742735118510534,6.751561318385365
2.90301250613268,7.396353797853324
3.0084502747981667,6.782838082898919
3.2132456847848103,6.51431766373652
3.7076166980194305,7.807289744807608
2.9908883364052747,6.948336728466376
3.0296738540421067,7.037520998734565
1.912609681143938,7.601700313274976
2.658659741195731,7.127122373784514
2.5081333394102656,7.613465070933314
3.3957788109442855,7.568357163706667
3.2968704050696394,6.506212181555062
2.4904883100826876,7.101866818880126
3.8961841038804046,7.102079588867174
3.6607925722588157,7.176594019410422
3.7198703970523437,6.975716402435747
3.5311954900510885,6.947664356029066
2.7832033866056936,7.356835167422395
2.7258551113465534,7.5299867768498006
3.000446655033861,6.277865556400384
2.576632287997487,7.619162710058081
3.226347010559089,7.113319220812487
3.404465221162852,7.496816213194306
2.5066085667412175,7.278423856080375
2.829557536568044,7.057011641726828
3.7202022932164156,7.154563969076941
2.4137186040230305,8.686784933726818
2.3816852516227285,7.293908689641923
3.405289569433073,7.969475124399059
2.4864822909493105,8.357992632400734
3.293936027222834,7.682802963063854
2.907034117702017,7.0778872520341825
3.7864437262102517,7.193714809052925
2.318947551358964,7.857019504769628
3.6957156361747305,7.157180735007682
2.7095216855538857,8.021006327850529
2.6552009786291535,6.834311805858343
2.483715471993625,7.003700639772418
3.1549961732195797,7.16373334241943
4.111476010715884,7.188870792613673
2.9283685234034667,7.856653877278796
2.557590291157102,7.140790678420324
2.6921420893486934,6.709201188257598
