gamma_mean_forward,gamma_var_forward,scale,shape,date_onset,n_used,direction
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2020-12-01,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2020-12-02,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2020-12-03,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2020-12-04,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2020-12-05,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2020-12-06,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2020-12-07,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2020-12-08,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2020-12-09,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2020-12-10,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2020-12-11,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2020-12-12,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2020-12-13,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2020-12-14,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2020-12-15,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2020-12-16,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2020-12-17,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2020-12-18,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2020-12-19,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2020-12-20,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2020-12-21,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2020-12-22,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2020-12-23,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2020-12-24,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2020-12-25,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2020-12-26,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2020-12-27,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2020-12-28,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2020-12-29,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2020-12-30,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2020-12-31,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2021-01-01,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2021-01-02,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2021-01-03,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2021-01-04,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2021-01-05,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2021-01-06,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2021-01-07,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2021-01-08,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2021-01-09,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2021-01-10,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2021-01-11,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2021-01-12,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2021-01-13,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2021-01-14,51,forward
10.9113702376999,13.0797864031956,1.19872995950624,9.10244225663157,2021-01-15,51,forward
9.51684671987096,12.38035551145,1.30088840094484,7.31565191369134,2021-01-16,55,forward
8.78894153708643,10.7899416081273,1.22767247484777,7.15902793061826,2021-01-17,52,forward
6.95019729282401,6.05143004539728,0.870684642527386,7.98245076730569,2021-01-18,51,forward
5.89708232991171,5.52215761405748,0.936421997374446,6.29746241165419,2021-01-19,58,forward
4.75958283522174,5.89698495237496,1.23897096794623,3.84156122972873,2021-01-20,50,forward
4.42491924533997,5.95375453315885,1.34550580542887,3.28866603732682,2021-01-21,53,forward
4.4109353307826,5.94564860776297,1.3479337514359,3.27236804188915,2021-01-22,57,forward
3.51476637274274,6.68052028388935,1.90070109231079,1.84919469292757,2021-01-23,59,forward
2.99628923475402,6.99751991071107,2.33539533818922,1.28299015835033,2021-01-24,51,forward
2.71112635872055,6.43654689056354,2.37412279581137,1.14194866563084,2021-01-25,60,forward
2.85335564650318,9.68330456585122,3.39365496821899,0.840791321812138,2021-01-26,53,forward
3.02288942137441,10.9012005276839,3.60621875567233,0.838243497186525,2021-01-27,55,forward
