"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124"
"Shandong",0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.030634573,0.035405193,0.033126935,0.036197671,0.034775465,0.03795424,0.040363539,0.038067734,0.041677658,0.041390289,0.034858388,0.039806996,0.03647587,0.036227717,0.035874439,0.036588964,0.038156288,0.038021534,0.037491705,0.035517241,0.035932447,0.034040849,0.029754204,0.033798677,0.033959249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fujian",0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.022246535,0.027012851,0.026006192,0.026440038,0.023001095,0.024495289,0.024057739,0.026516146,0.02690583,0.026001592,0.027077498,0.028045838,0.028619529,0.029039678,0.029895366,0.031572735,0.031746032,0.030955585,0.033510285,0.031034483,0.030183255,0.029635563,0.031047865,0.031961793,0.027167399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yunnan",0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.019693654,0.020980855,0.020433437,0.020144791,0.019715225,0.022880215,0.021117348,0.022840641,0.019783698,0.019633855,0.020230314,0.020808203,0.022446689,0.018688902,0.016442451,0.017114193,0.016483516,0.015141319,0.016257465,0.016896552,0.016528926,0.015618742,0.014230272,0.015797208,0.021574111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shanghai",0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.037928519,0.035405193,0.036842105,0.035882908,0.043537788,0.035800808,0.034750067,0.033079548,0.029279873,0.031308039,0.030189854,0.025633293,0.031425365,0.029902243,0.027204783,0.027146651,0.024420024,0.020188425,0.01857996,0.015862069,0.011857708,0.011213456,0.013367831,0.019470977,0.019576508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hainan",0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.016411379,0.017571466,0.013003096,0.014793831,0.014238773,0.016419919,0.017642342,0.014176949,0.01398048,0.012204829,0.011204482,0.013872135,0.011223345,0.011213341,0.011360239,0.012393036,0.011599512,0.01076716,0.012939615,0.012758621,0.012935681,0.013215859,0.013799051,0.018368846,0.027167399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shaanxi",0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.024434719,0.025963808,0.022291022,0.023292414,0.024917853,0.025572005,0.024859663,0.023890785,0.02294909,0.022287079,0.023965142,0.023823884,0.023569024,0.023576768,0.022421525,0.023605783,0.021978022,0.023553163,0.027538155,0.025172414,0.025512037,0.022827393,0.023285899,0.026818516,0.025968837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beijing",0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.046681255,0.049829531,0.048916409,0.044381492,0.060514786,0.05679677,0.051857792,0.048044106,0.039303614,0.043247546,0.03610333,0.036489747,0.04040404,0.040828062,0.038863976,0.037769253,0.032661783,0.024562584,0.02256138,0.019310345,0.01688825,0.015618742,0.015523933,0.0143277,0.016779864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hebei",0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.024799416,0.025701547,0.023839009,0.026440038,0.027656079,0.027994616,0.029938519,0.031766868,0.033500396,0.033165296,0.030812325,0.031363088,0.031705948,0.029039678,0.034678625,0.031572735,0.034188034,0.032637954,0.0331785,0.032413793,0.029464607,0.028434121,0.02414834,0.021675239,0.02117459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guangxi",0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.01896426,0.024390244,0.023839009,0.026440038,0.024370208,0.023687752,0.026730821,0.030716724,0.033236613,0.031042717,0.030501089,0.036188179,0.033670034,0.029039678,0.025710015,0.023900856,0.023809524,0.020188425,0.02521566,0.024827586,0.022278117,0.022026432,0.022423458,0.024246877,0.028365961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shanxi",0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.014952589,0.017309205,0.014551084,0.018570979,0.013964951,0.017227456,0.019246191,0.021790496,0.023740438,0.022021756,0.020852786,0.023220748,0.022446689,0.019838988,0.019431988,0.015048687,0.017399267,0.017833109,0.018911745,0.018965517,0.018684872,0.019223068,0.020267357,0.019470977,0.015581302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guizhou",0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.023340627,0.025963808,0.02755418,0.029587661,0.027929901,0.031493943,0.031007752,0.034129693,0.032709048,0.027062881,0.023653906,0.026236429,0.027497194,0.023001725,0.017638266,0.017409265,0.015567766,0.015141319,0.015593895,0.015517241,0.01365433,0.012014417,0.01250539,0.013592946,0.015980823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Liaoning",0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.012035011,0.01127721,0.009907121,0.011960969,0.01177437,0.012920592,0.01336541,0.011289052,0.011342654,0.011408862,0.011204482,0.011158022,0.011784512,0.011788384,0.010762332,0.012393036,0.011904762,0.011440108,0.01260783,0.011724138,0.01042041,0.008410092,0.007330746,0.006980162,0.009188973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
