"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124"
"Hubei",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Henan",0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.150619985,0.129294519,0.140866873,0.138495436,0.131982475,0.130551817,0.133654103,0.132055658,0.140068583,0.138763598,0.153127918,0.1486731,0.14983165,0.165899942,0.180269058,0.190616701,0.194444444,0.188425303,0.194426012,0.214482759,0.222062522,0.227072487,0.229409228,0.182953711,0.172992409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guangdong",0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.095185996,0.098610018,0.092569659,0.08687441,0.095290252,0.08371467,0.078855921,0.076660541,0.073067792,0.07508623,0.069094304,0.068455971,0.068742985,0.062679701,0.057698057,0.057539097,0.056471306,0.054508748,0.058725946,0.057241379,0.060725835,0.06247497,0.066839155,0.106539309,0.124650419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hunan",0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.112691466,0.098085497,0.115479876,0.102297765,0.094468784,0.097981157,0.100507886,0.098976109,0.095225534,0.103475723,0.111733582,0.104041013,0.105780022,0.109833237,0.106726457,0.107111242,0.10958486,0.126177658,0.113802256,0.115862069,0.12217032,0.129755707,0.132384649,0.114621602,0.094286856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anhui",0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.070751276,0.067663257,0.06996904,0.067359144,0.062979189,0.061372813,0.062282812,0.063533736,0.064362965,0.066861236,0.070339247,0.063932449,0.065095398,0.069292697,0.075635277,0.071702567,0.076923077,0.081090175,0.075315196,0.078275862,0.081566655,0.084100921,0.082794308,0.072373255,0.072313224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jiangxi",0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.068563093,0.062418044,0.061919505,0.062952471,0.058598028,0.059219381,0.057471264,0.055920189,0.060142443,0.058901565,0.066915655,0.059710495,0.063131313,0.06440483,0.067862481,0.07081735,0.073260073,0.075370121,0.073988056,0.072068966,0.073302192,0.078093712,0.079344545,0.063556209,0.054334798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zhejiang",0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.050692925,0.052452137,0.050773994,0.046270066,0.050383352,0.046837147,0.043303929,0.044893673,0.041413875,0.042982223,0.042950514,0.038600724,0.038439955,0.035940196,0.034080717,0.035113603,0.035409035,0.038358008,0.03450564,0.034137931,0.031979878,0.028434121,0.028460543,0.033063924,0.037554934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jiangsu",0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.057622174,0.059795437,0.059442724,0.059175323,0.061336254,0.058950202,0.058005881,0.056182725,0.055394355,0.058636243,0.055399938,0.05066345,0.049943883,0.050316274,0.049925262,0.048686928,0.051892552,0.052153432,0.046118115,0.043448276,0.041681639,0.041249499,0.040965934,0.046289493,0.052337195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sichuan",0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.030269876,0.035667453,0.030650155,0.035882908,0.036692223,0.036608345,0.039294306,0.039642951,0.043524136,0.03926771,0.039838157,0.046441496,0.042368126,0.043703278,0.042152466,0.04249041,0.039072039,0.039703903,0.04445919,0.041724138,0.040603665,0.038846616,0.035791289,0.044085231,0.046743907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chongqing",0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030999271,0.030159979,0.031888545,0.032735285,0.031215772,0.033109017,0.033146218,0.033342085,0.038512266,0.03926771,0.037348273,0.040410133,0.037317621,0.041115584,0.046038864,0.042785482,0.04029304,0.042732167,0.042800265,0.043793103,0.044915559,0.04164998,0.043122035,0.047391624,0.036755893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
