date,Henan,Guangdong,Hunan,Anhui,Jiangxi,Zhejiang,Jiangsu,Sichuan,Chongqing,Shandong,Fujian,Yunnan,Shanghai,Hainan,Shaanxi,Beijing,Hebei,Guangxi,Shanxi,Guizhou,Liaoning,Gansu,Inner Mongolia,Jilin,Heilongjiang,Xinjiang,Qinghai,Tianjin,Hubei
11/1/19,0.150619985,0.095185996,0.112691466,0.070751276,0.068563093,0.050692925,0.057622174,0.030269876,0.030999271,0.030634573,0.022246535,0.019693654,0.037928519,0.016411379,0.024434719,0.046681255,0.024799416,0.01896426,0.014952589,0.023340627,0.012035011,0.007658643,0.004376368,0.004741065,0.008023341,0.006564551,0.001823487,0.007293946,1
11/2/19,0.150619985,0.095185996,0.112691466,0.070751276,0.068563093,0.050692925,0.057622174,0.030269876,0.030999271,0.030634573,0.022246535,0.019693654,0.037928519,0.016411379,0.024434719,0.046681255,0.024799416,0.01896426,0.014952589,0.023340627,0.012035011,0.007658643,0.004376368,0.004741065,0.008023341,0.006564551,0.001823487,0.007293946,1
11/3/19,0.150619985,0.095185996,0.112691466,0.070751276,0.068563093,0.050692925,0.057622174,0.030269876,0.030999271,0.030634573,0.022246535,0.019693654,0.037928519,0.016411379,0.024434719,0.046681255,0.024799416,0.01896426,0.014952589,0.023340627,0.012035011,0.007658643,0.004376368,0.004741065,0.008023341,0.006564551,0.001823487,0.007293946,1
11/4/19,0.150619985,0.095185996,0.112691466,0.070751276,0.068563093,0.050692925,0.057622174,0.030269876,0.030999271,0.030634573,0.022246535,0.019693654,0.037928519,0.016411379,0.024434719,0.046681255,0.024799416,0.01896426,0.014952589,0.023340627,0.012035011,0.007658643,0.004376368,0.004741065,0.008023341,0.006564551,0.001823487,0.007293946,1
11/5/19,0.150619985,0.095185996,0.112691466,0.070751276,0.068563093,0.050692925,0.057622174,0.030269876,0.030999271,0.030634573,0.022246535,0.019693654,0.037928519,0.016411379,0.024434719,0.046681255,0.024799416,0.01896426,0.014952589,0.023340627,0.012035011,0.007658643,0.004376368,0.004741065,0.008023341,0.006564551,0.001823487,0.007293946,1
11/6/19,0.150619985,0.095185996,0.112691466,0.070751276,0.068563093,0.050692925,0.057622174,0.030269876,0.030999271,0.030634573,0.022246535,0.019693654,0.037928519,0.016411379,0.024434719,0.046681255,0.024799416,0.01896426,0.014952589,0.023340627,0.012035011,0.007658643,0.004376368,0.004741065,0.008023341,0.006564551,0.001823487,0.007293946,1
11/7/19,0.150619985,0.095185996,0.112691466,0.070751276,0.068563093,0.050692925,0.057622174,0.030269876,0.030999271,0.030634573,0.022246535,0.019693654,0.037928519,0.016411379,0.024434719,0.046681255,0.024799416,0.01896426,0.014952589,0.023340627,0.012035011,0.007658643,0.004376368,0.004741065,0.008023341,0.006564551,0.001823487,0.007293946,1
11/8/19,0.150619985,0.095185996,0.112691466,0.070751276,0.068563093,0.050692925,0.057622174,0.030269876,0.030999271,0.030634573,0.022246535,0.019693654,0.037928519,0.016411379,0.024434719,0.046681255,0.024799416,0.01896426,0.014952589,0.023340627,0.012035011,0.007658643,0.004376368,0.004741065,0.008023341,0.006564551,0.001823487,0.007293946,1
11/9/19,0.150619985,0.095185996,0.112691466,0.070751276,0.068563093,0.050692925,0.057622174,0.030269876,0.030999271,0.030634573,0.022246535,0.019693654,0.037928519,0.016411379,0.024434719,0.046681255,0.024799416,0.01896426,0.014952589,0.023340627,0.012035011,0.007658643,0.004376368,0.004741065,0.008023341,0.006564551,0.001823487,0.007293946,1
11/10/19,0.150619985,0.095185996,0.112691466,0.070751276,0.068563093,0.050692925,0.057622174,0.030269876,0.030999271,0.030634573,0.022246535,0.019693654,0.037928519,0.016411379,0.024434719,0.046681255,0.024799416,0.01896426,0.014952589,0.023340627,0.012035011,0.007658643,0.004376368,0.004741065,0.008023341,0.006564551,0.001823487,0.007293946,1
