date,mean_delay,direction
2019-12-29,21.239949123433526,forward
2019-12-29,21.045343193504205,forward
2019-12-30,20.85084706649421,forward
2019-12-30,20.656570545324044,forward
2019-12-31,20.462623432910654,forward
2019-12-31,20.269115532174553,forward
2020-01-01,20.07615664603507,forward
2020-01-02,19.88385657741152,forward
2020-01-02,19.692325129224393,forward
2020-01-03,19.50167210439067,forward
2020-01-03,19.312007305830843,forward
2020-01-04,19.123440536464248,forward
2020-01-05,18.93608159921019,forward
2020-01-05,18.750040296989138,forward
2020-01-06,18.565040809503785,forward
2020-01-06,18.377336048630333,forward
2020-01-07,18.18134168236312,forward
2020-01-08,17.97145664051731,forward
2020-01-08,17.742079852909526,forward
2020-01-09,17.487610249352162,forward
2020-01-09,17.20244675966168,forward
2020-01-10,16.880988313653262,forward
2020-01-11,16.517927257814236,forward
2020-01-11,16.11404275587064,forward
2020-01-12,15.675854372499124,forward
2020-01-12,15.210105731219139,forward
2020-01-13,14.723540455547761,forward
2020-01-14,14.222902169002095,forward
2020-01-14,13.714934495102339,forward
2020-01-15,13.206381057359339,forward
2020-01-15,12.703963569411977,forward
2020-01-16,12.212774709244878,forward
2020-01-17,11.735182535565343,forward
2020-01-17,11.273295741178456,forward
2020-01-18,10.829223018880878,forward
2020-01-18,10.405073061477788,forward
2020-01-19,10.002954561771503,forward
2020-01-20,9.624976212564341,forward
2020-01-20,9.273246162959191,forward
2020-01-21,8.948829947262915,forward
2020-01-21,8.64957911479551,forward
2020-01-22,8.372727885051788,forward
2020-01-22,8.115510477528094,forward
2020-01-23,7.875161111716099,forward
2020-01-24,7.648914007112273,forward
2020-01-24,7.43400338321142,forward
2020-01-25,7.227663459508364,forward
2020-01-25,7.027319412328287,forward
2020-01-26,6.831528952435367,forward
2020-01-27,6.6392657212948105,forward
2020-01-27,6.449503997870036,forward
2020-01-28,6.261218061124447,forward
2020-01-28,6.073382190022602,forward
2020-01-29,5.8849706635256185,forward
2020-01-30,5.694957760598058,forward
2020-01-30,5.502464503414409,forward
2020-01-31,5.308408700049582,forward
2020-01-31,5.114912048862624,forward
2020-02-01,4.924118419081118,forward
2020-02-02,4.738171679936199,forward
2020-02-02,4.559215700657824,forward
2020-02-03,4.389394350475952,forward
2020-02-03,4.230851498621459,forward
2020-02-04,4.085656649351664,forward
2020-02-05,3.9535069527529103,forward
