"values","names","province","fixed","lower_bound","upper_bound","steps","lower_start","upper_start"
3.41521816700697,"shape","all",0,0,10,0.1,2.5,3.5
2.77248597657308,"scale","all",0,0,10,0.1,2.5,3.5
500,"size","all",1,5,10000,0.1,5,10000
2.5,"weibull_alpha","all",0,1.5,100,0.1,2,3
6,"weibull_sigma","all",0,0,100,0.1,6,7
54,"imports_stop","all",1,0,100,0.1,0,100
5.23,"serial_interval_gamma_par1","all",1,0,10,0.1,0,10
0.87,"serial_interval_gamma_par2","all",1,0,10,0.1,0,10
48,"t_switch","all",1,0,100,0.1,0,100
911510.249865241,"K","all",0,60000,1e+06,1,60000,1e+06
0,"growth_rate","1",1,0,0.5,0.1,0.1,0.12
1,"i0","1",1,0,100,0.1,1,1
37,"t0","1",1,0,62,0.1,31,40
0,"local_r","1",1,0,1,0.1,0,1
0,"growth_rate","2",1,0,0.5,0.1,0.05,0.15
0,"i0","2",1,0,1,0.1,1,1
1e-05,"t0","2",1,0,40,0.1,10,40
0.737272442318499,"local_r","2",0,0,10,0.1,0,1
0,"growth_rate","3",1,0,0.5,0.1,0.05,0.15
0,"i0","3",1,0,1,0.1,1,1
1e-05,"t0","3",1,0,40,0.1,10,40
0.745031148428097,"local_r","3",0,0,10,0.1,0,1
0,"growth_rate","4",1,0,0.5,0.1,0.05,0.15
0,"i0","4",1,0,1,0.1,1,1
1e-05,"t0","4",1,0,40,0.1,10,40
0.642199746333063,"local_r","4",0,0,10,0.1,0,1
0,"growth_rate","5",1,0,0.5,0.1,0.05,0.15
0,"i0","5",1,0,1,0.1,1,1
1e-05,"t0","5",1,0,40,0.1,10,40
0.142086773179471,"local_r","5",0,0,10,0.1,0,1
0,"growth_rate","6",1,0,0.5,0.1,0.05,0.15
0,"i0","6",1,0,1,0.1,1,1
1e-05,"t0","6",1,0,40,0.1,10,40
0.488335414789617,"local_r","6",0,0,10,0.1,0,1
0,"growth_rate","7",1,0,0.5,0.1,0.05,0.15
0,"i0","7",1,0,1,0.1,1,1
1e-05,"t0","7",1,0,40,0.1,10,40
0.294948109425604,"local_r","7",0,0,10,0.1,0,1
0,"growth_rate","8",1,0,0.5,0.1,0.05,0.15
0,"i0","8",1,0,1,0.1,1,1
1e-05,"t0","8",1,0,40,0.1,10,40
0.152984691550955,"local_r","8",0,0,10,0.1,0,1
0,"growth_rate","9",1,0,0.5,0.1,0.05,0.15
0,"i0","9",1,0,1,0.1,1,1
1e-05,"t0","9",1,0,40,0.1,10,40
0.0972488336265087,"local_r","9",0,0,10,0.1,0,1
0,"growth_rate","10",1,0,0.5,0.1,0.05,0.15
0,"i0","10",1,0,1,0.1,1,1
1e-05,"t0","10",1,0,40,0.1,10,40
0.616789900930598,"local_r","10",0,0,10,0.1,0,1
0,"growth_rate","11",1,0,0.5,0.1,0.05,0.15
0,"i0","11",1,0,1,0.1,1,1
1e-05,"t0","11",1,0,40,0.1,10,40
0.575436916900799,"local_r","11",0,0,10,0.1,0,1
0,"growth_rate","12",1,0,0.5,0.1,0.05,0.15
0,"i0","12",1,0,1,0.1,1,1
1e-05,"t0","12",1,0,40,0.1,10,40
0.161891269497573,"local_r","12",0,0,10,0.1,0,1
0,"growth_rate","13",1,0,0.5,0.1,0.05,0.15
0,"i0","13",1,0,1,0.1,1,1
1e-05,"t0","13",1,0,40,0.1,10,40
0.000200380804017186,"local_r","13",0,0,10,0.1,0,1
0,"growth_rate","14",1,0,0.5,0.1,0.05,0.15
0,"i0","14",1,0,1,0.1,1,1
1e-05,"t0","14",1,0,40,0.1,10,40
