"sampno","confirm_delay_shape","confirm_delay_scale","weibull_alpha","weibull_sigma","t_switch","K","i0","t0","lnlike"
1,6.20549361561975,1.74450827191774,13.0117456405424,8.55582144577056,22.3474403377622,935579.046905041,1,37,-1462231.33821126
11,6.20549361561975,1.74450827191774,14.4774435434956,8.02699202438816,23.6792883370072,814026.901912875,1,37,-1197902.5225075
21,6.20549361561975,1.74450827191774,12.1632138878922,1.1994864186272,31.1453579110093,459147.8282772,1,37,-550560.42951351
31,6.20549361561975,1.74450827191774,12.1632138878922,1.84909254079684,32.0774408057332,261925.031151623,1,37,-366282.595738456
41,6.20549361561975,1.74450827191774,10.2418920600088,2.46376641793177,36.0374807938933,223136.306600645,1,37,-184764.92929608
51,6.20549361561975,1.74450827191774,16.2621429069433,2.46376641793177,36.5144591359422,223136.306600645,1,37,-170144.184359765
61,6.20549361561975,1.74450827191774,16.9091156869312,4.29191054776311,39.1408400982618,223136.306600645,1,37,-117632.760732951
71,6.20549361561975,1.74450827191774,22.2387094142963,4.29191054776311,43.5955794644542,223136.306600645,1,37,-48803.6235831899
81,6.20549361561975,1.74450827191774,17.75090481441,4.66706417500973,46.2632750486955,220077.848318033,1,37,-33913.6164406837
91,6.20549361561975,1.74450827191774,12.6972586792661,6.89700065879151,47.365568287205,198987.07405664,1,37,-20616.888476647
101,6.20549361561975,1.74450827191774,12.7063038345775,6.89700065879151,48.4345140471123,198987.07405664,1,37,-19195.3137702836
111,6.20549361561975,1.74450827191774,3.26693798161879,1.62647261319375,48.4345140471123,134451.342476532,1,37,-1065.18760393823
121,6.20549361561975,1.74450827191774,3.26693798161879,1.62647261319375,48.4345140471123,134451.342476532,1,37,-1065.18760393823
131,6.20549361561975,1.74450827191774,3.26693798161879,3.12073452456243,48.4345140471123,134451.342476532,1,37,-1054.24989917419
141,6.20549361561975,1.74450827191774,3.26693798161879,3.12073452456243,48.4345140471123,124927.447992377,1,37,-423.997312110263
151,6.20549361561975,1.74450827191774,3.26693798161879,3.12073452456243,48.4345140471123,124927.447992377,1,37,-423.997312110263
161,6.20549361561975,1.74450827191774,3.26693798161879,3.12073452456243,48.4345140471123,124927.447992377,1,37,-423.997312110263
171,6.20549361561975,1.74450827191774,3.26693798161879,3.12073452456243,48.4345140471123,124927.447992377,1,37,-423.997312110263
181,6.20549361561975,1.74450827191774,2.69408583834909,3.12073452456243,48.4345140471123,124927.447992377,1,37,-412.036653832913
191,6.20549361561975,1.74450827191774,1.81570443120957,3.12073452456243,48.4345140471123,124927.447992377,1,37,-407.485577101497
201,6.20549361561975,1.74450827191774,1.81570443120957,3.12073452456243,48.4345140471123,124927.447992377,1,37,-407.485577101497
211,6.20549361561975,1.74450827191774,1.81570443120957,3.12073452456243,48.4345140471123,124927.447992377,1,37,-407.485577101497
221,6.20549361561975,1.74450827191774,2.38024596734721,3.12073452456243,48.4345140471123,124927.447992377,1,37,-407.004986673381
231,6.20549361561975,1.74450827191774,2.38024596734721,3.12073452456243,48.4345140471123,124927.447992377,1,37,-407.004986673381
241,6.20549361561975,1.74450827191774,2.38024596734721,3.12073452456243,48.2676069177564,124927.447992377,1,37,-393.762432906414
