"sampno","confirm_delay_shape","confirm_delay_scale","weibull_alpha","weibull_sigma","t_switch","K","i0","t0","lnlike"
1,6.20549361561975,1.74450827191774,2.26955191285031,6.71163415937144,48.1348356283427,121121.373682622,1,37,-304.728288843286
11,6.20549361561975,1.74450827191774,2.24013800243773,6.93084187807154,47.945378867163,120958.365386153,1,37,-305.85607399331
21,6.20549361561975,1.74450827191774,2.1492969894559,6.52926110687532,48.3334114551514,120578.335032857,1,37,-309.558868744312
31,6.20549361561975,1.74450827191774,2.16902458940033,6.60575982019616,48.2337102020479,120604.939641141,1,37,-307.855044581659
41,6.20549361561975,1.74450827191774,2.13067478302615,6.34136922402024,48.4872447807105,121161.402653772,1,37,-307.384236132325
51,6.20549361561975,1.74450827191774,2.21370609135768,6.71891570560588,48.1376625513839,120671.630595221,1,37,-306.47503410388
61,6.20549361561975,1.74450827191774,2.26140659795498,6.56972760802913,48.2583686711473,120991.669115367,1,37,-304.813736371614
71,6.20549361561975,1.74450827191774,2.32781194620702,7.36137639773735,47.5736753997534,121185.450508876,1,37,-306.124243555307
81,6.20549361561975,1.74450827191774,2.30283654322264,6.77373328310435,48.1169744996468,121533.0523937,1,37,-306.752480127765
91,6.20549361561975,1.74450827191774,2.27341956619046,6.96035416707857,47.934341776793,121433.062426136,1,37,-305.785905442414
101,6.20549361561975,1.74450827191774,2.33081562945144,7.0774229345874,47.8302094748254,120567.171457448,1,37,-306.608926565382
111,6.20549361561975,1.74450827191774,2.20639934208728,6.95544506868483,47.936850172869,120991.798860161,1,37,-307.544977993324
121,6.20549361561975,1.74450827191774,2.27255376316151,7.11022643152757,47.8386126796296,121058.845197252,1,37,-308.372368374761
131,6.20549361561975,1.74450827191774,2.27686056051139,6.68101486370019,48.1938387426912,121494.480842122,1,37,-306.141056655834
141,6.20549361561975,1.74450827191774,2.34679895679904,6.65651367230291,48.2150768813937,121057.672477445,1,37,-306.850560019841
151,6.20549361561975,1.74450827191774,2.36725084849403,6.7874801260261,48.0517141176571,121356.719735965,1,37,-306.79329488739
161,6.20549361561975,1.74450827191774,2.29265143406802,6.56190789106226,48.3064952250901,121135.285073273,1,37,-306.295496488805
171,6.20549361561975,1.74450827191774,2.22891235761241,6.60546672099576,48.2603297211678,120667.576123786,1,37,-306.553939146721
181,6.20549361561975,1.74450827191774,2.1442277066004,6.41850846295348,48.419932661455,120850.590267809,1,37,-307.584552633659
191,6.20549361561975,1.74450827191774,2.1736216202545,6.4283798924247,48.4210416758287,121323.052365118,1,37,-306.795676813569
201,6.20549361561975,1.74450827191774,2.31116090717496,6.9065541871398,47.9816471434695,121120.493201692,1,37,-305.187089244148
211,6.20549361561975,1.74450827191774,2.31045818049019,6.58177161962106,48.2763903758775,121778.474811357,1,37,-307.827081804793
221,6.20549361561975,1.74450827191774,2.34295704715424,6.90900816333054,47.98447587483,120930.076305508,1,37,-305.921172629486
231,6.20549361561975,1.74450827191774,2.3914767164858,7.23606807423682,47.6590816073579,120740.204539957,1,37,-306.704100497181
241,6.20549361561975,1.74450827191774,2.28757621184061,6.80765389134217,48.0379696350433,120764.800867128,1,37,-305.419739312111
251,6.20549361561975,1.74450827191774,2.33450474673605,7.04720659093956,47.842325738942,121430.07899482,1,37,-305.630611588644
261,6.20549361561975,1.74450827191774,2.34744822177589,7.4173221042908,47.5101746347544,121424.397984268,1,37,-306.448265304955
271,6.20549361561975,1.74450827191774,2.26480448774586,6.74210619780951,48.0743359611251,120892.728608686,1,37,-306.09887852909
281,6.20549361561975,1.74450827191774,2.21544979989724,6.48302583538979,48.335470622401,120406.804480356,1,37,-307.126583180179
291,6.20549361561975,1.74450827191774,2.23314917844144,6.5560427077256,48.2822036099055,121089.862691995,1,37,-304.872115592835
301,6.20549361561975,1.74450827191774,2.14786265922126,6.39096748066175,48.4361036080336,120960.968818617,1,37,-306.795146952219
311,6.20549361561975,1.74450827191774,2.30733393359092,6.89052916891118,48.0107087669907,120918.551614408,1,37,-305.964693963348
321,6.20549361561975,1.74450827191774,2.29781117774889,6.63151550868287,48.2057153367153,121198.700501627,1,37,-305.016941206136
331,6.20549361561975,1.74450827191774,2.34623056817393,7.27621224898389,47.6037349346688,121511.315283129,1,37,-307.211923213553
