X,alpha,sigma
2272,2.17605699,7.32457844
2273,3.459230249,7.331380075
2274,2.901207882,7.199809541
2275,2.165708234,9.483362612
2276,3.1460065,6.670901589
2277,3.199941837,6.822378852
2278,3.608029584,7.258258822
2279,3.547934538,7.237342547
2280,3.509151565,7.78462709
2281,3.036448374,6.932082892
2282,3.523908984,6.989936485
2283,3.755818558,6.928815283
2284,2.39758493,7.552935225
2285,2.436863987,7.725231375
2286,4.514465599,7.163683816
2287,3.815241901,7.902129595
2288,3.167051111,7.122300696
2289,1.891276917,8.221923582
2290,1.801086142,7.523897906
2291,2.384401615,7.381289672
2292,3.112441816,7.340548101
2293,3.797588916,7.100447074
2294,3.130753489,7.260864021
2295,2.914188256,7.53835443
2296,3.400520841,6.622242912
2297,3.176791905,7.023741764
2298,3.004634529,6.308923522
2299,2.776098598,7.342390022
2300,2.338717746,7.656648057
2301,2.448203442,7.670482914
2302,2.897651062,6.960251235
2303,3.184532441,6.387562308
2304,2.258159858,6.693853644
2305,3.670473987,6.931590346
2306,3.071785185,7.625831531
2307,3.16251102,6.687620574
2308,3.232943874,7.016286897
2309,3.367060031,6.084590576
2310,2.564654597,7.615410071
2311,2.165169806,8.63164695
2312,3.207793362,7.518877509
2313,2.916252012,7.776786435
2314,2.996704675,7.692490241
2315,3.400332198,6.555561306
2316,3.177822507,7.481270274
2317,3.513538857,6.580404947
2318,3.068381212,7.053498927
2319,2.733165959,7.081359669
2320,3.080462861,7.333070739
2321,2.544358107,7.796348188
2322,3.741646216,6.993028671
2323,2.79512818,5.884741831
2324,2.952732308,7.832320416
2325,4.538492727,7.986471603
2326,3.877450581,6.888023196
2327,2.764184489,6.368128476
2328,1.903086457,8.56450428
2329,3.644147429,7.368157591
2330,3.409734451,6.896419379
2331,2.659997349,7.324579913
2332,3.062737058,7.002793774
2333,3.483714977,6.967655264
2334,4.158711979,7.230758429
2335,3.08722588,6.740147913
2336,2.737033564,7.350336323
2337,2.666736843,6.818889791
2338,2.380788518,6.674797393
2339,3.045018256,7.536048224
2340,2.33041174,7.43391357
2341,3.09021585,6.635759805
2342,3.713296427,7.500424792
2343,3.399450516,6.702586318
2344,3.715692546,7.189704971
2345,2.559154043,8.373263705
2346,2.321292359,7.813365571
2347,4.304449864,7.372044951
2348,2.914543511,7.227488611
2349,3.537436607,7.989541582
2350,2.737841234,6.814543955
2351,2.938526662,6.451301354
2352,3.855369786,7.225417813
2353,2.082149468,6.700420906
2354,2.934247436,7.66397093
2355,2.961871665,7.111570645
2356,3.202098691,6.778752986
2357,3.024412483,6.554294276
2358,4.020828862,6.77095476
2359,3.268947573,7.511715666
2360,3.163619562,6.706508609
2361,4.169314067,6.508011164
2362,4.146788155,6.422663476
2363,2.607068848,7.190052122
2364,2.969752735,6.877789978
2365,3.234594666,7.354895825
2366,2.946227893,5.978862957
2367,3.614624562,6.938757741
2368,4.047983196,7.104164037
2369,4.59105937,6.843658863
2370,2.112927297,8.573008664
2371,3.212481061,7.962823895
2372,3.048602772,7.357443248
2373,3.272479529,6.714933932
2374,3.40782685,7.440954536
2375,2.585461548,6.823846095
2376,2.838398753,7.001807223
2377,2.537336703,7.243320724
2378,3.280211957,7.561078416
2379,3.181794783,7.66460363
2380,2.639757583,7.729252826
2381,3.697782717,7.051596207
2382,3.799209611,7.36999245
2383,2.643515611,7.483845777
2384,2.786584016,7.153882535
2385,2.531538303,7.386757218
2386,3.0789816,6.915166452
2387,2.702006057,8.785673241
2388,3.484723635,7.20041642
2389,4.050045848,6.525506956
2390,3.057843053,7.351843565
2391,2.621583925,7.115714159
2392,3.880896905,7.230002684
2393,3.152350704,6.868906158
2394,3.410085998,7.575908326
2395,3.564842173,7.263934433
2396,2.354898103,6.945150323
2397,2.832494661,8.55206896
2398,3.269505332,7.321308325
2399,3.277691726,6.862206481
2400,3.47466009,7.39643419
2401,1.807131761,8.340917229
2402,3.089684421,7.101347018
2403,3.286905321,7.478034617
2404,3.842783446,7.325913071
2405,3.486135827,7.016785602
2406,3.699118014,6.984031861
2407,2.558141169,6.424414264
2408,2.502695243,7.483095404
2409,2.412846409,7.573767727
2410,3.546069085,7.76998716
2411,3.351624699,7.374892006
2412,2.847496857,7.70259257
2413,2.854065856,7.218552647
2414,2.644755072,8.57148312
2415,3.015484315,6.699197402
2416,3.176568827,7.426517627
2417,3.305841152,7.012174381
2418,3.089069566,7.571402635
2419,3.128770245,6.335176195
2420,2.471133908,7.996610358
2421,2.467225639,7.926932163
2422,2.680417205,7.508269077
2423,3.732485167,7.086991094
2424,3.368012594,7.052862266
2425,2.598431753,6.65805769
2426,2.773349797,7.036421228
2427,3.34293447,7.506521999
2428,3.78357836,6.731111887
2429,3.49483873,6.696061182
2430,3.440828911,7.624316829
2431,2.277199056,7.85577136
2432,2.581761887,6.741412926
2433,2.446285774,7.545606446
2434,3.253241747,8.086734226
2435,3.152115003,7.258537419
2436,3.888211669,6.658531385
2437,3.657444768,7.909403333
2438,2.955247354,6.556889468
2439,3.084776445,7.322543281
2440,2.706291325,7.378989213
2441,3.209416895,6.525924607
2442,2.904023587,7.852418038
2443,2.819708947,7.385524412
2444,1.74643216,8.926535834
2445,2.521389771,6.987086051
2446,2.04880641,7.73618894
2447,3.494563977,6.979008032
2448,2.440322474,5.66564233
2449,3.156631363,7.07501904
2450,4.011334805,6.408553136
2451,3.255022977,6.608472822
2452,3.179293884,6.909191542
2453,2.51700136,7.299787152
2454,3.117720416,9.063263485
2455,2.893819154,7.292160332
2456,1.945510027,8.035073216
2457,3.870221276,7.432189333
2458,3.765344239,7.43799542
2459,3.60909205,7.002808767
2460,3.002284418,7.956973666
2461,3.19616705,8.334737349
2462,2.4816085,8.29138955
2463,2.128658719,7.559268646
2464,3.1613224,6.803104684
2465,2.971471425,7.017092447
2466,2.936107945,6.196955212
2467,3.63909861,7.172218189
2468,3.672605542,6.995432357
2469,3.150942776,7.065012635
2470,1.9118244,7.905285256
2471,3.161837189,6.891948636
2472,3.574071389,6.875071965
2473,2.704754691,8.176790529
2474,2.789629411,7.107277593
2475,3.536842442,7.293066085
2476,2.722662716,6.964573704
2477,2.984072004,6.443258583
2478,2.502931843,7.917399481
2479,3.321344171,7.061168515
2480,2.662928047,6.996636367
2481,3.378195979,7.736637155
2482,3.631997814,7.224451678
2483,3.465793758,6.980973821
2484,2.857286558,6.521280791
2485,2.112375605,8.989555022
2486,3.317766007,7.603124738
2487,2.821490954,7.440222497
2488,3.454203944,6.453748902
2489,2.700485813,7.738768363
2490,2.494890932,7.01193898
2491,3.612860971,8.018313446
2492,3.075219129,6.621448803
2493,3.901600672,6.957242309
2494,2.932850158,6.920784363
2495,2.942874869,7.127596069
2496,2.431337052,7.343770057
2497,2.131583206,8.079278069
2498,2.765908286,7.004060733
2499,2.978608798,6.746830167
2500,2.844772767,9.071664515
2501,3.212590099,6.798452422
2502,2.856768836,8.272104632
2503,2.502731454,6.23404554
2504,2.819155275,7.621974521
2505,2.591070146,7.954048076
2506,2.834836051,7.064039042
2507,3.127809423,7.120165836
2508,3.388074785,7.098231112
2509,2.55994591,7.549330159
2510,3.211585437,6.586620776
2511,2.242234191,7.04822334
2512,3.668026218,7.906944252
2513,3.374622395,6.717818246
2514,3.042970008,7.597578697
2515,2.807615245,6.551936732
2516,3.572141542,7.065505124
2517,2.31254097,7.189884965
2518,2.684571668,7.31214748
2519,3.555892512,6.568422595
2520,2.930570199,6.75452516
2521,2.942994892,6.75235735
2522,3.840422048,6.802215608
2523,2.520169053,7.972061283
2524,2.853072175,6.570575317
2525,2.328851018,7.127379358
2526,2.075273993,7.779591201
2527,3.740284363,7.062972214
2528,3.216163598,7.224793179
2529,3.115929032,6.507438206
2530,2.562004965,7.763778933
2531,3.111600219,7.329076453
2532,2.921445163,7.337576241
2533,2.417051982,6.640702123
2534,3.345123429,7.152393812
2535,2.930904208,6.680699353
2536,2.325519954,6.81878649
2537,2.368585214,7.038509001
2538,2.240307628,7.883822673
2539,2.773058321,7.885288399
2540,2.899975478,7.003518442
2541,2.146711597,7.344747541
2542,2.589824959,6.606382012
2543,3.5209416,7.43109589
2544,3.05240903,7.287585198
2545,3.290427696,8.111189703
2546,2.398697611,8.117060784
2547,3.331684464,7.463575865
2548,2.922799177,7.444272648
2549,3.697274227,6.532046606
2550,3.019467322,7.168899082
2551,3.495404634,6.553065344
2552,4.257582375,7.103550369
2553,1.990500195,7.66636874
2554,2.145614882,6.744594015
2555,2.685603456,6.36656907
2556,3.041806412,7.209298538
2557,2.559341333,7.124863935
2558,2.561575404,6.538906102
2559,3.532693324,6.304833821
2560,3.655259222,6.989544525
2561,2.785457054,7.46759458
2562,4.228119884,7.423947415
2563,2.397197952,7.312973398
2564,3.688667324,6.849675816
2565,3.069534875,7.058463267
2566,2.446906157,6.725698181
2567,3.250217207,6.463009527
2568,3.071916623,7.631362368
2569,3.00930122,7.784227235
2570,3.440553735,6.608108809
2571,2.358671119,7.713325302
2572,2.284136738,8.75270221
2573,3.403164948,7.716785743
2574,3.611773213,7.060174762
2575,3.016524848,7.665690955
2576,3.675654332,7.388302157
2577,3.966048853,7.022678278
2578,3.904222636,7.79033537
2579,2.643875998,8.327089098
2580,3.562828747,7.320554244
2581,2.757804163,7.228299153
2582,3.059086643,7.37342638
2583,3.378635962,5.928828871
2584,2.71662309,7.118188667
2585,2.9569967,7.662867662
2586,2.4087432,7.672309436
2587,3.990477156,7.534408151
2588,3.403807128,7.971479115
2589,3.093566797,7.846736443
2590,2.527255353,7.403983691
2591,3.529816979,6.927395907
2592,4.704291341,7.036652073
2593,4.1542822,7.345305396
2594,2.476082579,7.520719456
2595,2.96855732,7.176783705
2596,2.260925048,7.008561773
2597,3.101600637,6.471291893
2598,2.849060824,7.164224858
2599,2.64136214,7.985975313
2600,3.515042175,7.197329286
2601,3.498669991,7.050488889
2602,3.009413714,7.361945756
2603,3.896329096,7.07886491
2604,2.338297832,6.59602148
2605,2.305801803,7.876862482
2606,3.041858074,7.095222043
2607,2.202262978,8.441709995
2608,3.345220384,6.745885159
2609,2.761857616,7.656139982
2610,3.512802139,7.098835497
2611,4.223712512,6.637226955
2612,4.11105941,6.609423472
2613,3.304648383,6.616240824
2614,2.555517802,8.162573856
2615,2.032275964,7.736097801
2616,2.948950373,8.335196127
2617,3.523804677,6.4257007
2618,3.721926436,7.011331537
2619,3.067305984,6.581752162
2620,3.040382155,7.578178334
2621,2.082433463,8.117015187
2622,2.16110035,7.819774253
2623,2.718956982,6.934116433
2624,3.977983935,6.863520762
2625,1.815622927,8.228104365
2626,3.070141234,6.483077471
2627,3.313905322,6.5838566
2628,2.963054956,6.983663671
2629,3.07197857,6.456910026
2630,3.239699695,6.927520045
2631,3.394791433,7.036617281
2632,2.912696443,7.675526929
2633,3.318401265,6.675227463
2634,2.743694179,7.199783286
2635,3.176953271,7.193328777
2636,3.275014601,7.088322256
2637,2.999936827,7.424134417
2638,2.783449546,7.749101327
2639,3.667428025,6.911255052
2640,3.470970837,7.159664604
2641,2.730605927,7.281432896
2642,3.714880212,7.06273196
2643,3.870158536,6.686566733
2644,2.68722846,6.930875839
2645,3.048667446,6.418792454
2646,3.248441973,8.17297045
2647,2.535594984,7.208272657
2648,2.533830156,7.146507725
2649,3.230078936,7.454220527
2650,2.636618194,6.793254473
2651,3.087162628,7.593190259
2652,3.044513255,7.74751393
2653,3.260576517,7.038886464
2654,2.228850435,8.948402076
2655,2.465213673,6.42097047
2656,2.573349318,7.64407755
2657,2.83135753,7.981868077
2658,3.200154225,7.698397575
2659,2.92542728,7.437667535
2660,2.524010388,7.11472412
2661,3.45482776,7.811897668
2662,2.30876659,8.384129978
2663,2.446133286,7.28157067
2664,3.190973233,7.214081048
2665,3.716837378,7.689436134
2666,2.217210992,8.435690033
2667,3.677073746,6.495689341
2668,2.874008028,8.03662225
2669,1.840055629,8.932115671
2670,2.319053148,7.273514351
2671,3.538515444,7.36770665
2672,2.016582692,7.416050912
2673,2.268780124,7.541706128
2674,3.153694941,7.395364636
2675,3.076944692,6.600441893
2676,2.984397241,7.21090401
2677,2.23665506,7.576836622
2678,2.626921533,8.444263518
2679,4.13095263,7.096358643
2680,3.150905252,7.05160972
2681,1.863258091,7.617773755
2682,3.203680623,6.233589028
2683,2.498300025,6.882241212
2684,2.788872939,7.646525221
2685,2.918742726,7.98627025
2686,4.695813224,6.863917401
2687,3.14088428,7.408976426
2688,3.182472441,6.543298977
2689,2.437632048,6.791846062
2690,2.512222078,6.859489255
2691,2.526137421,7.443620845
2692,3.251325173,6.027861831
2693,2.658211984,8.056465515
2694,2.969742153,6.788226678
2695,3.145395294,7.195089593
2696,3.200983824,6.684481188
2697,3.005381386,7.360937134
2698,3.014759761,6.997234034
2699,3.975708472,6.928541364
2700,2.873886179,7.121704205
2701,3.225134592,7.835866757
2702,2.940613104,7.486337448
2703,2.081543476,6.975999297
2704,2.161925954,7.205971642
2705,3.152453012,7.291034847
2706,2.667987654,6.937443408
2707,2.874845229,7.578786298
2708,2.830407766,7.163702544
2709,3.301833435,6.855104432
2710,2.612177507,7.649667634
2711,3.323211473,7.658435328
2712,3.781898926,6.592531673
2713,2.894081767,6.69429081
2714,2.508263273,8.562348955
2715,2.711440812,6.312665936
2716,2.046391985,6.951773126
2717,3.556925999,6.958139104
2718,3.069038888,7.198653641
2719,2.110054664,8.556806573
2720,2.479523171,7.543322478
2721,2.956989688,6.595216092
2722,3.607963504,6.383183682
2723,2.972401764,6.69901461
2724,3.546601711,7.399895567
2725,2.974617316,6.658763719
2726,3.494922399,7.029802135
2727,2.593130815,8.513738866
2728,2.419317077,6.807464812
2729,3.216584977,7.264501024
2730,2.174878839,7.383502582
2731,3.897401793,6.931011326
2732,2.845234494,8.109494655
2733,3.310315351,8.016393675
2734,2.741044073,6.66714193
2735,3.181677277,6.353642111
2736,3.266531478,7.405153355
2737,3.725237688,6.66741849
2738,3.284642998,7.363742181
2739,2.696754302,6.725791188
2740,2.832161711,7.472239125
2741,3.190149447,7.523458787
2742,4.019927195,7.313460136
2743,2.770703657,7.099308601
2744,2.150448164,8.486470483
2745,3.846952331,7.218838589
2746,3.665182841,7.341125283
2747,2.872057831,8.218662592
2748,3.150571827,6.336873047
2749,4.327859334,7.154155739
2750,2.659580952,7.611347238
2751,1.746695253,7.255733866
2752,3.166406719,7.099374847
2753,2.843137248,7.248244551
2754,2.766905949,7.041151921
2755,3.175541782,7.281698639
2756,2.886722563,6.797404563
2757,3.039242407,8.271799968
2758,3.296231533,7.067219097
2759,3.752979243,7.158970076
2760,3.903832014,6.956993031
2761,3.058606296,6.923675908
2762,2.04799239,9.417393908
2763,3.137682015,6.893268562
2764,3.619035022,6.7777699
2765,3.287184876,6.815681537
2766,3.355125373,7.330207989
2767,2.300471742,6.904051052
2768,2.803275672,9.85407978
2769,2.600515493,6.82993944
2770,2.483483175,7.749746384
2771,2.621322683,5.934787351
2772,2.740098883,7.35535723
2773,2.548140388,6.749862845
2774,3.023604826,7.31978888
2775,2.673925806,7.473977585
2776,3.246799744,7.751341139
2777,3.780533855,7.420079125
2778,2.389504753,7.165488839
2779,3.109713112,8.162499517
2780,2.272459984,8.126119883
2781,2.890382276,7.121193925
2782,3.236116527,8.125646169
2783,2.640505491,6.685003603
2784,3.766240323,7.102234167
2785,2.231151619,7.657602631
2786,3.433613483,7.618002334
2787,2.753879325,6.791205957
2788,3.218954222,7.205890614
2789,2.84852121,7.490426763
2790,3.448233005,6.610710437
2791,2.475270553,7.46080646
2792,2.948023845,7.514654878
2793,1.88118416,8.210623481
2794,2.76163641,7.541229218
2795,2.899017214,6.794190312
2796,2.383075098,8.386825465
2797,2.229795178,7.652959016
2798,2.809744733,7.218888599
2799,2.973371408,7.109794661
2800,3.126009571,7.557754346
2801,4.17371278,7.03090929
2802,2.815047924,7.275881614
2803,4.089967236,7.544742292
2804,1.975166071,6.279458498
2805,4.453371713,7.318887877
2806,2.462794074,8.39985725
2807,3.553681246,7.224056256
2808,3.033009284,7.279397543
2809,3.532386984,6.953280654
2810,3.309317765,6.892869381
2811,2.865963227,7.710025488
2812,2.269339212,6.276181787
2813,3.201808914,7.340262489
2814,2.806190691,6.076126552
2815,2.846175594,6.381104585
2816,2.459288336,6.695610647
2817,2.629301696,6.874796574
2818,2.357557573,8.134782724
2819,3.336042255,6.856712468
2820,2.589225317,7.196609813
2821,2.817395454,6.337437836
2822,2.975785758,7.09807983
2823,4.154885194,6.787793708
2824,2.269439071,7.69385738
2825,2.869126705,6.756658377
2826,1.918765642,7.433939608
2827,3.729338546,6.562149414
2828,2.043119378,8.710538423
2829,2.712004817,8.185317246
2830,2.971237482,7.624825253
2831,3.448607815,6.315797753
2832,3.087509446,7.435371018
2833,2.796525376,7.052548685
2834,3.501648135,6.017140025
2835,3.06813271,6.568787121
2836,2.701201778,7.206647216
2837,2.18231136,6.945719137
2838,2.805488356,6.933365406
2839,2.727885161,7.347969421
2840,2.578028525,6.783181414
2841,4.486028116,7.077282437
2842,3.181915142,7.359284311
2843,3.061833056,6.752906474
2844,2.497758579,6.421812118
2845,3.252113169,6.740971221
2846,3.324070109,7.255298238
2847,2.829092593,8.108955175
2848,2.588381136,7.972904259
2849,2.809746485,6.091241804
2850,3.877599506,7.108810093
2851,3.318993802,7.804543912
2852,3.078542488,7.389224027
2853,2.867401435,7.184726418
2854,3.25799877,7.457360444
2855,4.592632546,6.902533686
2856,2.725692434,7.139004175
2857,2.689249108,6.541258094
2858,2.071260482,7.847860972
2859,2.794361783,7.687578365
2860,3.667755694,8.161512469
2861,3.101117639,6.726251109
2862,2.872516887,7.012370848
2863,3.317950957,6.753427642
2864,2.612418211,6.248223472
2865,2.718275361,6.628162479
2866,2.633890857,7.914016664
2867,2.731533051,7.339540492
2868,2.199091484,6.057787044
2869,3.453518982,6.8731247
2870,3.085895656,6.963057132
2871,3.930294001,6.850559809
2872,3.071515394,6.959841807
2873,3.912191787,6.54844285
2874,2.656628349,6.634768986
2875,3.757484269,7.700679038
2876,2.223565759,8.779798269
2877,2.990879663,6.839844248
2878,2.53499343,7.683663941
2879,2.661877086,7.23071989
2880,2.617411514,7.424872165
2881,3.519803138,6.751828765
2882,3.847313728,7.711870947
2883,1.768315787,8.150097852
2884,2.847443373,6.992716815
2885,2.825677307,7.523889294
2886,2.805195543,6.961886339
2887,3.693919512,6.833805296
2888,2.675456515,7.617234651
2889,3.845033161,7.128264623
2890,3.540140382,7.028976803
2891,2.851712543,7.812041966
2892,3.382530896,6.435162313
2893,2.798568566,7.045711555
2894,3.637602295,6.223826264
2895,3.018869256,7.69164881
2896,3.439322725,7.220776741
2897,2.392804273,7.237086609
2898,2.937882385,7.769358708
2899,3.871469228,7.249901622
2900,3.032509158,7.936202766
2901,2.467473692,6.931020454
2902,3.413892325,7.662330041
2903,2.040298379,7.287178534
2904,3.225199427,6.984472845
2905,2.765079317,6.816437726
2906,3.411463805,6.667317436
2907,2.779941165,6.646348719
2908,3.111674619,7.25879028
2909,2.785238452,7.149272322
2910,2.556442513,6.551267729
2911,2.558510053,7.979033599
2912,3.074071615,6.984521814
2913,3.264570612,7.484857105
2914,2.99620643,7.045068343
2915,2.790930771,6.818088871
2916,3.440228161,6.900639562
2917,2.164667556,7.655257333
2918,2.862705565,6.771673383
2919,2.788716717,8.641980877
2920,2.607521828,6.755198703
2921,3.042702573,7.659551962
2922,2.771734648,7.229979526
2923,2.405994275,7.768032057
2924,3.213335528,6.398546668
2925,3.399634334,6.152841811
2926,3.922063549,7.016096443
2927,3.267182158,7.492586714
2928,2.591859368,7.251206554
2929,2.63612394,8.671144533
2930,2.358620381,7.209844682
2931,2.939135275,7.593452805
2932,2.401354837,7.664239202
2933,1.578580632,7.875236376
2934,3.825039937,6.530626074
2935,2.295307684,7.205493373
2936,3.435197526,6.805191182
2937,2.843353763,6.855904873
2938,2.613127634,6.150323352
2939,3.654618105,7.408336111
2940,2.399315378,6.911669123
2941,2.178199958,7.501707891
2942,3.395459504,6.372516675
2943,2.466636347,7.153425452
2944,3.266359838,7.043642902
2945,4.840984526,6.650195527
2946,3.229744647,7.406383324
2947,2.822618752,6.499326163
2948,3.663848131,7.531284756
2949,3.297320952,7.367306746
2950,3.07770906,6.174450076
2951,3.191797325,7.151020142
2952,2.66623256,7.225747869
2953,2.571998729,9.579647886
2954,2.585249873,7.834424809
2955,3.56711715,7.627811726
2956,3.263202245,6.480497367
2957,1.697599118,9.509810798
2958,3.571105382,7.122260571
2959,3.664904913,6.683458622
2960,2.574584903,7.285489286
2961,2.531348948,7.419948413
2962,3.079576482,6.574933144
2963,3.452870838,6.965515675
2964,1.751013917,7.396766516
2965,2.556339463,7.48769108
2966,3.035065818,7.801190607
2967,2.882242372,7.021048445
2968,3.199687433,6.676301629
2969,3.350425851,6.437608296
2970,2.556129039,7.233321912
2971,2.371417518,8.956711343
2972,2.893022924,7.71941756
2973,3.093711157,7.639617338
2974,3.905723971,7.195990199
2975,3.088206794,7.093619106
2976,3.600239701,6.809877328
2977,3.432023796,6.081564554
2978,3.280027195,7.67371689
2979,2.186637628,9.331039977
2980,3.409971928,7.935670154
2981,2.191603316,9.680275616
2982,3.096980693,8.18176469
2983,3.9293019,7.417094771
2984,3.272237672,6.710583484
2985,2.603339172,8.965219183
2986,2.633642044,8.04220412
2987,3.377247206,7.281531985
2988,2.886782119,8.070062845
2989,3.691356491,7.325782041
2990,2.852142131,7.823522446
2991,2.598899099,7.498756106
2992,2.888954156,7.858811287
2993,2.251905195,7.874671009
2994,2.889364852,7.831670201
2995,2.946321267,6.775674708
2996,2.64136555,6.824679623
2997,1.952875419,8.156027103
2998,3.002248419,7.213876838
2999,4.239686018,7.027965503
3000,3.054589961,7.325396005
3001,2.799054086,7.023653955
3002,2.478902598,7.609740993
3003,2.632061912,7.072605757
3004,3.129556691,7.905183152
3005,2.336994753,8.202116608
3006,2.99506437,6.841747275
3007,2.488761551,5.953092235
3008,2.980256747,6.646833983
3009,3.754502011,6.902271581
3010,3.990917843,6.474007977
3011,3.022663212,6.77789032
3012,2.339962391,7.333725132
3013,3.3485271,7.275943081
3014,3.499109637,7.013494002
3015,2.739100514,7.189125226
3016,4.18371041,7.083242999
3017,4.211411347,7.284681354
3018,2.630912753,6.853933572
3019,2.493433838,7.243977749
3020,3.345844195,7.247739955
3021,3.933922048,6.908872209
3022,2.828693868,7.379896371
3023,3.307098507,6.588645215
3024,2.527726141,7.574233296
3025,2.54642763,7.382835354
3026,3.211191753,7.770365559
3027,3.094036806,6.726996147
3028,3.179052578,7.459138807
3029,2.814496152,6.540661365
3030,3.402166881,6.956282674
3031,3.561851272,7.747938763
3032,2.544287927,7.36501791
3033,2.379848095,6.657368793
3034,2.731325628,7.734481763
3035,2.752993375,7.316693717
3036,3.468271681,7.009359861
3037,3.13054261,7.789978767
3038,3.467099754,6.673607368
3039,2.713271525,7.126454408
3040,2.704910582,6.823058173
3041,2.817461025,7.785266576
3042,3.394979447,7.324145678
3043,3.215953745,6.649204217
3044,3.04511885,6.708294691
3045,2.654434732,8.610500278
3046,1.84719727,7.496762149
3047,2.917445688,7.603321088
3048,2.554645216,8.138449811
3049,3.175654406,6.862373817
3050,3.765265816,7.661963514
3051,2.976195224,6.768449402
3052,1.963991316,7.129231236
3053,3.52278444,6.818271047
3054,3.453716016,6.972627511
3055,3.27361113,6.250675338
3056,2.631793083,8.210382383
3057,2.59325997,7.453400795
3058,3.493726708,6.775308634
3059,2.66382984,8.405606679
3060,2.69275164,7.859727024
3061,2.861641578,5.97982048
3062,2.781203239,7.412772643
3063,3.393319177,6.999552608
3064,3.350607364,6.73831139
3065,3.262652106,6.83756946
3066,3.163514177,8.076633829
3067,3.181935169,6.960617882
3068,3.320608031,6.931195038
3069,3.409544683,7.394757332
3070,3.569369424,7.555157536
3071,3.347456262,7.384991229
3072,3.261974452,6.816874968
3073,3.114153822,6.519469495
3074,2.771798656,6.527752812
3075,2.869227821,6.781203976
3076,2.866510487,7.290675954
3077,3.099153348,6.993157109
3078,2.755644376,6.703722022
3079,3.880342382,7.176904674
3080,3.023404363,6.980965231
3081,2.337814895,6.644431187
3082,2.944708326,6.35146257
3083,2.769948276,7.429760451
3084,2.832351489,6.288410623
3085,3.338324428,6.267794853
3086,3.298812933,7.073189191
3087,2.569514142,6.283277585
3088,2.807587695,7.677271037
3089,3.77882842,6.791564381
3090,2.39473023,7.396447163
3091,3.561914043,6.350415378
3092,3.191332539,7.024359312
3093,3.605278889,6.866176322
3094,2.818632836,6.985992548
3095,2.53978969,8.142455937
3096,2.474439775,7.357839087
3097,2.77525443,6.803366515
3098,2.313070172,8.485880892
3099,3.566202443,6.588294822
3100,2.277709912,6.437016743
3101,3.774239188,7.270333339
3102,2.523953265,8.742997552
3103,3.15135786,7.70599624
3104,2.868488463,7.087496108
3105,3.336849561,7.102164624
3106,2.677744935,7.015188286
3107,2.695161339,5.750541642
3108,2.554182049,8.407558386
3109,2.56526352,7.417869718
3110,2.963153805,7.80205843
3111,2.795258835,6.984793564
3112,2.713329552,6.766692441
3113,2.361179618,8.877787924
3114,2.951309632,7.546985837
3115,2.8353566,6.23850195
3116,2.533873319,7.20171318
3117,4.235376673,7.361905099
3118,2.351802808,7.489727458
3119,3.124228728,7.229654836
3120,2.220343799,7.718751841
3121,3.399377409,7.579306402
3122,3.425445383,7.585793348
3123,3.760611104,6.700360501
3124,2.359447687,6.766123371
3125,3.202849498,7.020462408
3126,2.339926946,6.700843264
3127,3.405137931,7.223236438
3128,1.922004697,8.585517746
3129,1.908677002,7.349292725
3130,3.11700833,7.160412477
3131,2.754233266,6.752195149
3132,1.92884156,8.135447502
3133,3.486808238,7.590816052
3134,3.070042123,7.001069195
3135,3.818525416,7.133121339
3136,2.46786876,7.089617819
3137,2.733746911,7.901820258
3138,2.992536602,6.855918789
3139,2.539872568,8.540918595
3140,3.921913877,7.411712804
3141,3.338725627,6.554142866
3142,4.195349293,7.06394523
3143,3.708498204,6.81105476
3144,3.912954025,6.732657903
3145,3.130394077,7.13252735
3146,3.024224552,7.058566908
3147,2.007987292,7.61955624
3148,2.668662155,6.904019725
3149,2.486451089,7.551433615
3150,2.996292673,6.690966386
3151,4.733809123,6.970345715
3152,2.338294024,7.856327041
3153,3.155999469,6.947600757
3154,3.57990519,7.000451017
3155,2.631602802,7.494136329
3156,3.058993421,7.455409595
3157,2.327171504,7.251385607
3158,2.936792064,7.110317961
3159,2.508818182,7.361011439
3160,3.582786623,7.41216896
3161,3.240746713,7.183019282
3162,2.145470496,8.256520232
3163,3.170203935,6.509482187
3164,2.451203195,6.633600249
3165,2.620939667,6.626369435
3166,3.282765209,6.672963243
3167,3.050983858,6.735150392
3168,2.361869812,6.720248214
3169,2.906040541,7.48707918
3170,2.832592203,6.977697923
3171,3.627476313,6.621792776
3172,2.592558461,7.181424774
3173,2.955729273,8.53266071
3174,2.347959894,7.663622348
3175,2.491223493,6.707302106
3176,2.428835218,7.753009957
3177,3.234330094,6.671396326
3178,4.194289388,7.007523414
3179,3.378072993,6.923127884
3180,2.595710371,6.944356086
3181,2.804162731,7.018654205
3182,2.654965001,6.900731364
3183,3.594728632,7.360174633
3184,3.787991063,7.875206506
3185,2.786713959,7.109614373
3186,2.772909371,7.364103437
3187,2.82786827,6.691656486
3188,3.473030181,8.044990277
3189,3.317239981,7.53190432
3190,2.713398727,7.343029229
3191,4.588111765,6.613369575
3192,2.832944966,6.547053579
3193,2.191624006,7.375812215
3194,2.492638164,8.004338286
3195,3.228585805,7.467180648
3196,3.210407817,7.210880074
3197,2.484458661,7.275482993
3198,3.009839735,6.695909191
3199,3.19233086,6.640674787
3200,3.056014054,7.565927653
3201,3.662381488,7.097730703
3202,2.395114483,7.518089605
3203,2.417609249,8.109610293
