X,alpha,sigma
123,2.451208298,6.991854921
124,2.927258584,7.319758624
125,2.212737611,8.105495691
126,3.438711175,6.363599866
127,3.053009278,7.126951466
128,2.14820399,7.356686895
129,2.57969557,7.678533758
130,2.671746152,7.890911942
131,2.865514141,7.458289986
132,3.803288796,6.533921914
133,2.414954424,6.716545148
134,2.902776379,6.340546371
135,2.318964233,8.535861748
136,3.353069461,7.706863504
137,3.448772862,6.833277043
138,2.764733052,6.68321404
139,2.22054047,8.369947449
140,2.78589963,6.936111193
141,3.094138101,6.256370478
142,3.285782652,6.596224978
143,2.728733869,7.376650863
144,2.539060644,8.545632229
145,3.197826537,7.594049723
146,2.832137998,6.945018046
147,2.593066223,7.77294145
148,3.820756678,7.157892734
149,2.745340595,6.882785929
150,2.163797148,7.642986067
151,3.223477811,6.842759646
152,3.158995447,6.559360952
153,3.175635516,7.890957349
154,3.517160327,7.026326874
155,3.42469065,6.816612602
156,3.147074494,7.273925628
157,3.416007203,6.709768487
158,2.251454096,7.286482486
159,3.180561539,7.465442823
160,3.430255592,6.234012458
161,3.437327178,6.915655466
162,2.752595726,6.641843249
163,2.147673496,6.973974085
164,2.607262028,7.152516918
165,3.044576438,6.883217143
166,3.050308023,6.915796677
167,2.549145352,7.730861849
168,2.583782974,7.974378755
169,2.383105264,7.718161918
170,2.8206302,8.236485845
171,3.220213422,6.972345126
172,2.749364276,7.960755448
173,2.705356424,8.252779061
174,2.583725108,6.26499744
175,2.511142735,6.631288081
176,4.178071457,6.357054142
177,3.11697166,6.82381508
178,2.857945045,6.905429212
179,3.121327922,7.580063481
180,3.076326756,6.812867927
181,2.791283427,6.603286215
182,2.235335699,7.307854831
183,3.420737864,6.525739771
184,2.162645148,7.175566058
185,2.749740009,6.321783658
186,2.331751371,8.597232225
187,3.986535798,7.07143992
188,2.849596462,6.290416423
189,3.127437709,7.251770143
190,4.48590372,6.791593234
191,3.433331686,7.504369358
192,3.19031749,8.089722266
193,2.754202782,7.161885971
194,2.815564706,7.742085432
195,2.958239826,7.302252447
196,3.010642707,7.324807797
197,3.189310301,6.933750573
198,2.948877996,7.802094623
199,3.327448361,7.607502865
200,2.144502054,8.495728875
201,2.129063779,7.351621831
202,3.30458135,6.923760716
203,2.84672472,6.850414203
204,2.857790554,7.177145609
205,3.758128722,7.068727262
206,2.155325477,7.883510556
207,2.423151193,7.199847829
208,3.085256256,7.046694357
209,2.653718592,7.555887202
210,2.269562761,6.998750944
211,2.318201708,7.939140933
212,2.241384473,8.583010232
213,2.75270142,7.782752927
214,2.635931082,7.699242601
215,3.088217703,7.709517388
216,3.26573424,7.499543229
217,2.425838693,7.101723382
218,2.283190218,7.926452679
219,3.753301961,7.223161406
220,2.879095996,7.591868862
221,3.453485201,7.740196736
222,2.81292419,8.430570905
223,3.195916691,7.158086789
224,3.786180379,7.363787622
225,3.342776653,6.393338629
226,3.087682816,6.462209412
227,2.566157617,7.508199039
228,3.04256625,6.555969248
229,3.04739494,6.414283389
230,3.146604411,7.45449011
231,3.018908311,7.726593334
232,2.95893168,7.789792996
233,2.901941524,6.937532381
234,2.195845407,7.375034435
235,2.490187935,7.247531092
236,2.720757081,7.325560973
237,2.40466649,7.7572278
238,3.492368951,7.659222762
239,2.897173638,7.065997569
240,2.812223867,7.555773865
241,3.052295588,7.605719929
242,2.663437008,6.802357059
243,3.380936516,6.98975871
244,2.702905193,7.000761207
245,2.944774361,7.256649923
246,2.848480663,6.915050151
247,3.430783496,6.825324791
248,3.909362265,7.198624395
249,2.895834193,7.309242975
250,2.904327591,7.438912003
251,2.177676008,7.797657309
252,2.95546064,7.105322108
253,2.600115099,7.852491822
254,2.804234373,7.246644354
255,3.807002372,7.830033091
256,2.240057889,7.952621064
257,2.940451944,6.959472192
258,2.74171644,7.528324771
259,2.75846148,8.774516546
260,2.36431012,6.198109969
261,2.035333146,7.538230897
262,3.28190042,7.8954777
263,2.714491889,8.053747111
264,2.774996211,7.047139898
265,2.338772364,6.566178954
266,2.342365126,7.956413567
267,3.58301207,7.25709593
268,2.310118361,7.150831495
269,2.41728737,6.999433075
270,2.559393635,6.366952246
271,3.790621287,6.779777999
272,2.857750258,7.118053419
273,3.351258765,7.520360477
274,3.257669386,7.119364575
275,3.345314059,7.41274095
276,3.978683282,6.339137661
277,2.437404912,6.486387395
278,2.692331049,8.016516981
279,1.950595488,8.847108026
280,2.161411752,7.330672562
281,2.477558695,7.306038885
282,2.737566803,6.66797828
283,2.875882444,7.421147791
284,3.007344869,6.800125037
285,3.261208004,7.109633656
286,3.649212672,6.743264973
287,2.528632583,8.706571687
288,3.645251882,6.31383133
289,2.329537309,7.883339836
290,3.646875721,7.807469274
291,2.731155342,6.728811656
292,3.049366007,6.986045845
293,3.835138464,7.046112069
294,3.605844136,6.753437943
295,3.047480897,7.157801617
296,2.530539959,6.754448896
297,3.585098395,7.38204637
298,2.48605151,7.290085413
299,3.461989679,7.361938111
300,3.727065064,7.452198134
301,2.000710751,7.205426016
302,3.110783342,6.677557732
303,3.490594946,7.853909751
304,2.988979521,6.525746107
305,3.086307606,7.073972645
306,3.413953079,7.560980008
307,3.641276339,7.085461144
308,3.143265608,7.168407147
309,2.924949768,7.010414277
310,2.872764563,7.623452431
311,2.642523398,6.308888649
312,3.11658987,7.030651955
313,2.95368055,6.604579908
314,3.28601057,6.96864599
315,2.322382196,6.863866258
316,3.115878097,7.156740952
317,1.81936068,9.249185327
318,3.354577317,6.898863383
319,2.444749639,7.717308187
320,3.227896072,7.421951456
321,2.642722577,7.478688015
322,3.231370838,7.800716799
323,2.971287721,6.796623399
324,2.540602082,7.19483633
325,2.457774361,8.576763658
326,3.084533149,7.626386586
327,3.33504634,6.454034845
328,3.858528389,7.039605611
329,2.503006669,9.130508102
330,2.653682111,6.661119909
331,2.8120599,6.490222544
332,2.884580528,8.043300406
333,3.31544095,7.46303642
334,2.979114223,6.102932638
335,1.924998951,9.495284
336,3.085315065,7.887568355
337,2.494932535,7.644648344
338,3.792056176,7.225254058
339,3.584217596,7.266867106
340,3.685281412,7.145458842
341,3.44930239,6.910625453
342,4.00698273,6.768667749
343,3.454560198,6.4887101
344,3.672357507,7.024512196
345,3.749254912,6.855836035
346,3.328398472,7.138173335
347,2.603066136,8.955569575
348,3.293090595,7.31162187
349,3.179191064,6.938674359
350,3.121178813,7.518074449
351,2.536414378,8.894162437
352,3.239010876,6.547801804
353,3.066810878,7.176302748
354,2.710112921,8.126761311
355,3.929241116,7.386853497
356,3.520987778,7.133015701
357,2.552259401,7.672160018
358,3.131302882,6.707778968
359,3.776965213,6.82377029
360,3.557291143,6.644366898
361,3.739846218,7.32625767
362,3.472368618,7.000975368
363,3.262210877,6.684388005
364,2.677884646,8.193100574
365,3.461776014,6.946322315
366,3.828824681,7.830939756
367,3.253146514,6.60498745
368,3.620298439,7.056997284
369,3.073581305,7.26915871
370,3.701234117,7.066317833
371,2.833615355,7.984803396
372,2.908325425,7.051901317
373,3.823485914,8.359084851
374,2.549960137,8.771858927
375,3.584133332,7.23687564
376,2.774730977,7.512226285
377,3.211952159,6.754061146
378,2.394424941,7.289329101
379,3.600722571,6.617228271
380,2.022353476,7.475076851
381,2.813237614,6.496596086
382,2.591397023,6.496412946
383,3.355709411,7.794154645
384,2.854063903,6.640369007
385,3.297636172,6.918344156
386,2.367703947,8.519007569
387,3.72557941,6.507565954
388,3.001441611,7.150435165
389,2.291977691,7.842885536
390,3.246659267,7.309391355
391,3.204112797,7.527610795
392,2.604603507,7.306551699
393,3.32462967,7.477318535
394,3.542966262,7.48168743
395,2.87162312,7.470286047
396,3.004108808,6.154805704
397,2.903121331,8.405991305
398,3.261464359,7.496038627
399,2.74020439,7.203272534
400,3.361844564,7.14691157
401,2.597032748,6.314944669
402,2.844517559,8.081657502
403,3.76215396,7.354269403
404,2.370252079,8.567451877
405,2.597970322,6.83096354
406,2.725933669,8.13197561
407,2.809011872,8.628171018
408,3.337225903,7.98803523
409,3.006155824,6.187791718
410,3.228385701,7.73034845
411,2.943723721,7.283195468
412,2.799527326,7.751904235
413,3.294275085,7.292342722
414,2.94012051,6.877333537
415,2.832663184,7.365115417
416,3.040539915,7.454948215
417,2.351434548,7.778447906
418,3.858631717,7.310540954
419,3.589699293,6.304425601
420,3.304580496,6.788450368
421,2.619592179,7.795570755
422,3.050888429,6.965624865
423,3.078468868,6.866775717
424,3.30017138,7.791763519
425,3.657568167,6.696211969
426,3.200350147,7.424688437
427,2.522657584,7.880463593
428,2.569685618,7.679645808
429,2.80841234,7.60429762
430,3.028445358,5.920673776
431,2.23068889,7.914285085
432,2.789878494,7.131672448
433,3.073648419,7.26078679
434,3.216030811,7.386632941
435,3.817967615,7.528551659
436,2.566985712,7.932379567
437,3.326764023,6.73436315
438,3.17749085,7.652756595
439,3.708704318,7.034363767
440,2.618425062,6.219702187
441,3.124080297,6.313628227
442,1.7371553,8.154670056
443,2.293528383,7.884618477
444,2.607125357,8.300955485
445,3.259102683,6.697899962
446,3.118095831,8.088218847
447,2.835243514,6.650187961
448,2.244103633,6.674509466
449,2.374452427,8.52943938
450,2.227399198,8.044639622
451,3.436042064,7.037799064
452,3.471170363,6.579588762
453,4.008492777,6.876791745
454,2.465916759,7.027525135
455,2.576740183,7.164916907
456,2.315692436,6.798180131
457,2.904107523,8.103276651
458,3.368867848,6.689783655
459,2.791628983,7.529359404
460,3.361078568,7.022077532
461,2.513173305,8.509917799
462,3.405074187,7.835914345
463,2.312989119,8.257257799
464,3.561008232,6.716831126
465,2.6253929,7.03013807
466,3.658264362,6.704862225
467,2.512067262,7.4326982
468,2.713440143,7.538983472
469,2.827498556,7.112445554
470,2.957856843,6.123731397
471,3.549786462,6.82292366
472,3.018599784,7.101766884
473,3.642250228,6.047011596
474,3.011489665,6.541998093
475,3.188226042,7.379886186
476,2.747175926,7.370944946
477,3.331813997,6.944360929
478,3.341085878,7.138697587
479,2.680182133,6.2393931
480,2.079034335,8.609071662
481,4.244596083,6.842721195
482,3.426785253,7.099787846
483,2.68367254,7.24229296
484,2.517348914,7.393039234
485,2.400549553,8.091258334
486,3.626836727,6.071238484
487,3.386403298,6.998732277
488,2.890055369,7.028727848
489,2.697557275,7.421155669
490,3.305999034,7.74647393
491,3.449525502,6.652721553
492,3.287620494,6.968111566
493,3.572869037,6.734387037
494,3.127010297,7.070670185
495,2.690763781,8.059770521
496,2.003336468,7.677953321
497,3.904518079,7.107739308
498,3.223865144,6.901488127
499,3.49920511,6.924971278
500,2.846615141,6.026760599
501,3.487940398,6.980856411
502,2.269534146,7.912628128
503,2.620585448,7.388677542
504,2.857658052,7.610965043
505,3.008491682,7.999886854
506,2.266386731,6.709055056
507,2.901863077,6.988858525
508,3.135752099,7.136896134
509,3.095380905,6.700692075
510,3.83891107,7.597197474
511,2.685310339,8.248069289
